province,pruid,hr,hruid,mean_index,sum_index,weighted_index,mean_mr,sum_mr,weighted_mr,num_csds,area_sq_km,population,dwellings,households,number_of_families,number_of_families_of_size_2,number_of_families_of_size_3,number_of_families_of_size_4,number_of_families_of_size_5_or_larger,couples_with_0_children,couples_with_children,couples_with_1_child,couples_with_2_children,couples_with_3_or_more_children,singles_with_children,singles_with_1_child,singles_with_2_children,singles_with_3_or_more_children,people_not_in_census_families,people_commuting_within_csd,people_commuting_within_cd_but_not_csd,people_commuting_within_province_but_not_cd,people_commuting_outside_province,total_commuters,F0,F3,F4,F0_prop,F3_prop,F4_prop,F_wo_C,F_with_C,population_density,wave_1_attack_rate,wave_2_attack_rate,wave_3_attack_rate,all_waves_attack_rate
Quebec,24,Gaspesie-Iles-de-la-Madeleine,2411,0.484587037037037,26.1677,0.489463116342417,4.28571428571429,150,4.24289399962352,54,11241.26048,90276,46370,40912,27015,16545,5795,3555,1140,13330,9080,4660,3305,1075,4595,3245,1130,270,17480,19275,6050,3155,560,29040,30810,9035,4650,33.5262603799825,9.04708084603761,4.42665877397991,30810,13685,8.03077200822945,0.00209357968895388,0.0166600203819398,0.0040431565421596,0.0227967566130533
Ontario,35,Grey Bruce,3533,0.193033333333333,4.6328,0.175763290609112,3.8695652173913,89,3.70434579348228,24,10941.27231,205348,110491,86136,61290,36370,10600,9290,5060,31920,22180,8625,8715,4840,7230,4470,1960,760,30855,31360,21585,19710,310,72965,62775,15055,14315,15.4507376081731,3.87111553852105,3.67814685330586,62775,29370,18.7682011910368,0.000511327112998422,0.00275629662816292,0.00561972846095409,0.00888735220211543
Ontario,35,Haldimand-Norfolk,3534,0.1001,0.2002,0.100755714442053,2.5,5,2.41593404589064,2,2885.25271,109652,48192,43509,32735,18245,6220,5350,2920,15555,12795,5005,4995,2795,4385,2690,1220,475,14555,20935,2660,16845,120,40560,30110,8915,8265,1.26427347090413,0.378574045153951,0.357152483941917,30110,17180,38.0042966842929,0.00393061686061358,0.00822602414912633,0.0123663955057819,0.0245230365155218
Ontario,35,Haliburton Kawartha Pine Ridge,3535,0.135671428571429,1.8994,0.112735049468382,3.14285714285714,44,2.38869024698828,14,13220.8245,254506,137033,106341,78775,48665,14310,11235,4590,41985,26415,11540,10470,4390,10385,6685,2760,945,38240,39655,9585,34840,245,84325,80225,20985,15805,9.83148458346123,2.39941451937642,1.76910089716235,80225,36790,19.2503879012992,0.000766190188050577,0.00299010632362302,0.00488004212081444,0.00863633863248804
Ontario,35,Halton,3536,0.05264,0.2632,0.0509055997742767,1,5,1,5,1247.85135,609596,219639,214055,174080,70355,39160,46960,17610,57010,93745,31535,45050,17165,23305,13330,7605,2350,62895,91485,33305,132480,830,258100,119905,52470,64565,2.47274911793438,1.12127603224236,1.40597484982327,119905,117035,488.516520817965,0.00128609767780628,0.0129774473585785,0.0143882177704578,0.0286517628068426
Ontario,35,Hamilton,3537,0.0574,0.0574,0.0574,1,1,1,1,1148.04521,536917,222918,211596,149350,72015,33455,30275,13610,54755,65960,25315,27885,12760,28635,17265,8140,3235,89250,142570,55,70010,495,213130,144005,50720,43880,0.603528844743404,0.212568890006496,0.1839022652501,144005,94600,467.679317263124,0.00155703767993936,0.0167064928098756,0.0215228797002144,0.0397864101900294
Ontario,35,Hastings Prince Edward,3538,0.19555,3.5199,0.14299121665219,2.77777777777778,50,1.7795011788063,18,7413.34582,161180,78035,67745,48245,28540,9360,7210,3145,23830,17065,7445,6680,2925,7370,4735,1910,740,26920,30960,15060,11325,235,57580,50750,14090,10345,12.3568680311186,3.2539433431277,2.3891886257537,50750,24435,21.7418698538469,0.000254373991810398,0.00205980890929396,0.00473383794515449,0.00704802084625884
Ontario,35,Huron Perth,3539,0.128666666666667,1.93,0.120745497564166,3.8,57,3.458414466578,15,5642.61983,136093,60116,54907,38765,21115,6865,6510,4290,18375,15715,5465,6090,4180,4710,2755,1400,555,19725,27045,13495,12595,90,53225,38100,9620,10825,9.60166293621932,2.37448402599243,3.02385303778825,38100,20445,24.1187611606292,0.000426179156900061,0.00911141645786337,0.00478349364037827,0.0143210892551417
Manitoba,46,Interlake-Eastern,4603,0.391690909090909,21.543,0.277771673110048,3.75,150,3.04907942583732,55,121274.0661,130605,72804,50057,38150,21125,7260,6330,3430,17980,14665,5700,5795,3150,5545,3170,1515,825,17460,13120,8925,21900,350,44295,35440,10385,9770,32.3601011123734,9.37979518749053,8.26010370013612,35440,20155,1.07694088439573,0.000160790168829677,0.0179166188124498,0.0121358294092875,0.030213238390567
Ontario,35,Kingston Frontenac Lennox and Addington,3541,0.209333333333333,1.884,0.154569531399492,2.33333333333333,21,1.35475763201854,9,7206.0675,193363,96839,81348,55495,31635,11175,9250,3450,26130,20625,8705,8630,3280,8730,5500,2455,785,35935,50525,9240,15000,295,75060,62065,16660,12695,6.22485001653773,1.52221215557816,1.25293782788411,62065,29355,26.8333595265379,0.000522333641906673,0.0029943681055838,0.00458722713238831,0.00810392887987878
