town,province,HA
Kisbey,Saskatchewan,South East
Lampman,Saskatchewan,South East
Manor,Saskatchewan,South East
Oxbow,Saskatchewan,South East
Redvers,Saskatchewan,South East
Roche Percee,Saskatchewan,South East
Storthoaks,Saskatchewan,South East
Stoughton,Saskatchewan,South East
Torquay,Saskatchewan,South East
White Bear First Nation,Saskatchewan,South East
,,
Aberdeen,Saskatchewan,Saskatoon
Allan,Saskatchewan,Saskatoon
Asquith,Saskatchewan,Saskatoon
Borden,Saskatchewan,Saskatoon
Bradwell,Saskatchewan,Saskatoon
Clavet,Saskatchewan,Saskatoon
Colonsay,Saskatchewan,Saskatoon
Dalmeny,Saskatchewan,Saskatoon
Delisle,Saskatchewan,Saskatoon
Dundurn,Saskatchewan,Saskatoon
Hanley,Saskatchewan,Saskatoon
Langham,Saskatchewan,Saskatoon
Martensville,Saskatchewan,Saskatoon
Meacham,Saskatchewan,Saskatoon
Osler,Saskatchewan,Saskatoon
Plunkett,Saskatchewan,Saskatoon
Prud'Homme,Saskatchewan,Saskatoon
Radisson,Saskatchewan,Saskatoon
Saskatoon,Saskatchewan,Saskatoon
Thode,Saskatchewan,Saskatoon
Shields,Saskatchewan,Saskatoon
Vanscoy,Saskatchewan,Saskatoon
Viscount,Saskatchewan,Saskatoon
Vonda,Saskatchewan,Saskatoon
Warman,Saskatchewan,Saskatoon
White Cap Dakota First Nation,Saskatchewan,Saskatoon
,,
Balgonie,Saskatchewan,Regina
Belle Plaine,Saskatchewan,Regina
Bethune,Saskatchewan,Regina
Buena Vista,Saskatchewan,Regina
Craven,Saskatchewan,Regina
Cupar,Saskatchewan,Regina
Disley,Saskatchewan,Regina
Earl Grey,Saskatchewan,Regina
Edenwold,Saskatchewan,Regina
Findlater,Saskatchewan,Regina
Grand Coulee,Saskatchewan,Regina
Kannata Valley,Saskatchewan,Regina
Lumsden,Saskatchewan,Regina
Lumsden Beach,Saskatchewan,Regina
Markinch,Saskatchewan,Regina
Milestone,Saskatchewan,Regina
North Grove,Saskatchewan,Regina
Pelican Pointe,Saskatchewan,Regina
Pense,Saskatchewan,Regina
Pilot Butte,Saskatchewan,Regina
Regina,Saskatchewan,Regina
Regina Beach,Saskatchewan,Regina
Sask Beach,Saskatchewan,Regina
Silton,Saskatchewan,Regina
Southey,Saskatchewan,Regina
White City,Saskatchewan,Regina
Wilcox,Saskatchewan,Regina
