district,town,population,commuting_population,commute_1,commute_2,commute_3,commute_4
North Central,Hepburn,688.00,205.00,40.00,30.00,130.00,0.00
North Central,Laird,"1,654.00",470.00,30.00,145.00,290.00,0.00
North Central,Leask,399.00,85.00,50.00,25.00,10.00,0.00
North Central,Marcelin,153.00,25.00,15.00,10.00,0.00,0.00
North Central,Meath Park,175.00,65.00,0.00,70.00,0.00,0.00
North Central,Paddockwood,"1,049.00",315.00,15.00,250.00,40.00,20.00
North Central,Parkside,121.00,60.00,0.00,35.00,20.00,0.00
North Central,Pebble Baye,45.00,,,,,
North Central,Prince Albert,"39,644.00","14,620.00","11,940.00","1,750.00",755.00,135.00
North Central,Rostern,"3,988.00","1,230.00",320.00,430.00,465.00,10.00
North Central,Shellbrook,"3,031.00","1,085.00",390.00,275.00,415.00,0.00
North Central,St. Louis,"1,501.00",480.00,95.00,340.00,50.00,0.00
North Central,Timer Bay,82.00,10.00,10.00,0.00,0.00,0.00
North Central,Wakaw,922.00,270.00,165.00,50.00,50.00,0.00
North Central,Wakaw Lake,72.00,35.00,0.00,25.00,10.00,0.00
North Central,Waldheim,"1,213.00",350.00,160.00,25.00,160.00,0.00
North Central,Waskesiu,,,,,,
North Central,Weirdale,50.00,,,,,
North East,Arborfield,655.00,190.00,65.00,120.00,0.00,0.00
North East,Archerwill,166.00,55.00,25.00,30.00,0.00,0.00
North East,Aylsham,65.00,10.00,0.00,0.00,0.00,0.00
North East,Beatty,60.00,45.00,0.00,15.00,25.00,0.00
North East,Bjorkdale,"1,052.00",340.00,35.00,280.00,25.00,0.00
North East,Carrot River,"1,802.00",490.00,295.00,180.00,20.00,0.00
North East,Choiceland,359.00,105.00,45.00,45.00,10.00,0.00
North East,Codette,198.00,100.00,0.00,100.00,0.00,0.00
North East,Cumberland House,"1,466.00",245.00,125.00,105.00,0.00,20.00
North East,Hudson Bay,"2,511.00",780.00,380.00,355.00,30.00,15.00
North East,Kinistino,"1,208.00",320.00,85.00,100.00,125.00,0.00
North East,Love,50.00,35.00,0.00,30.00,0.00,0.00
North East,Melfort,"5,992.00","2,345.00","1,830.00",160.00,330.00,20.00
North East,Mistatim,101.00,20.00,0.00,20.00,0.00,0.00
North East,Naicam,661.00,250.00,155.00,50.00,40.00,0.00
North East,Nipawin,"5,405.00","1,780.00","1,300.00",410.00,60.00,10.00
North East,Pleasantdale,672.00,250.00,0.00,165.00,80.00,0.00
North East,Porcupine Plain,862.00,275.00,205.00,55.00,10.00,10.00
North East,Ridgedale,55.00,,,,,
North East,Smeaton,182.00,40.00,10.00,10.00,25.00,0.00
North East,St. Brieux,667.00,315.00,285.00,10.00,15.00,0.00
North East,Star City,"1,305.00",313.00,10.00,370.00,10.00,0.00
North East,Tisdale,"3,235.00","1,215.00","1,045.00",110.00,55.00,10.00
North East,Tobin Lake,89.00,20.00,0.00,20.00,0.00,0.00
North East,Valparaiso,15.00,,,,,
North East,Weekes,40.00,25.00,0.00,25.00,0.00,0.00
North East,Weldon,197.00,65.00,0.00,50.00,20.00,0.00
North East,White Fox,355.00,65.00,20.00,45.00,0.00,0.00
North East,Zenon Park,194.00,40.00,10.00,35.00,0.00,0.00
North West,Aquadeo,111.00,20.00,0.00,10.00,15.00,0.00
North West,Battleford,"4,429.00","1,780.00",295.00,20.00,"1,450.00",10.00
North West,Big Shell,48.00,10.00,0.00,0.00,0.00,0.00
North West,Cochin,148.00,30.00,0.00,10.00,25.00,0.00
North West,Cut Knife,937.00,295.00,120.00,100.00,70.00,10.00
North West,Denholm,88.00,20.00,0.00,20.00,0.00,0.00
North West,Denzil,143.00,25.00,0.00,20.00,0.00,10.00
North West,Echo Bay,40.00,,,,,
North West,Edam,480.00,100.00,45.00,40.00,0.00,10.00
North West,Glaslyn,387.00,120.00,85.00,15.00,25.00,0.00
North West,Hafford,407.00,90.00,40.00,20.00,35.00,0.00
North West,Kivimaa-Moonlight Bay,84.00,20.00,10.00,10.00,0.00,0.00
North West,Krydor,15.00,,,,,
North West,Landis,152.00,40.00,10.00,10.00,20.00,0.00
North West,Lashburn,983.00,325.00,50.00,110.00,10.00,160.00
North West,Leoville,375.00,100.00,60.00,30.00,0.00,0.00
North West,Lloydminster,"11,765.00","4,855.00","1,310.00",290.00,35.00,"3,220.00"
North West,Macklin,"1,374.00",410.00,280.00,25.00,0.00,95.00
North West,Maidstone,"1,185.00",355.00,245.00,55.00,25.00,30.00
North West,Marsden,297.00,60.00,30.00,15.00,10.00,15.00
North West,Marshall,561.00,145.00,15.00,30.00,10.00,100.00
North West,Maymont,138.00,60.00,10.00,30.00,15.00,0.00
North West,Medstead ,638.00,180.00,25.00,80.00,65.00,0.00
North West,Meota,"1,237.00",450.00,30.00,65.00,330.00,30.00
North West,Mervin,"1,415.00",365.00,55.00,250.00,30.00,15.00
North West,Metinota,80.00,25.00,0.00,0.00,25.00,0.00
North West,Neilburg,379.00,170.00,115.00,15.00,10.00,30.00
North West,North Battleford,"15,194.00","5,880.00","4,690.00",530.00,921.00,50.00
North West,Onion Lake Cree Nation,0.00,,,,,
North West,Paradise Hill,491.00,205.00,125.00,65.00,0.00,10.00
North West,Paynton,403.00,115.00,10.00,90.00,0.00,15.00
North West,Poundmaker Cree Nation,547.00,60.00,0.00,45.00,10.00,0.00
North West,Primate,52.00,,,,,
North West,Richard,20.00,,,,,
North West,Ruddell,20.00,,,,,
North West,Scott,268.00,55.00,0.00,35.00,15.00,0.00
North West,Senlac,246.00,30.00,0.00,20.00,0.00,0.00
North West,Shell Lake,175.00,25.00,0.00,20.00,10.00,0.00
North West,Speers,60.00,15.00,10.00,10.00,0.00,0.00
North West,Spiritwood,"2,133.00",620.00,240.00,325.00,45.00,10.00
North West,St. Walburg,689.00,185.00,130.00,35.00,0.00,20.00
North West,Sweetgrass First Nation,643.00,95.00,35.00,10.00,55.00,10.00
North West,Thunderchild First Nation,740.00,80.00,0.00,75.00,0.00,0.00
North West,Turtleford,496.00,205.00,35.00,160.00,10.00,10.00
North West,Unity,"2,573.00",975.00,830.00,95.00,35.00,15.00
North West,Waseca,149.00,85.00,0.00,65.00,0.00,0.00
North West,Wilkie,"1,219.00",395.00,285.00,40.00,60.00,0.00
Regina,Balgonie,"1,765.00",825.00,80.00,740.00,0.00,0.00
Regina,Belle Plaine,85.00,30.00,0.00,0.00,25.00,0.00
Regina,Bethune,399.00,165.00,15.00,135.00,15.00,0.00
Regina,Buena Vista,612.00,195.00,0.00,180.00,0.00,0.00
Regina,Buffalo Narrows,"1,110.00",360.00,305.00,35.00,10.00,10.00
Regina,Craven,214.00,155.00,20.00,125.00,10.00,0.00
Regina,Cupar,"1,067.00",335.00,45.00,270.00,20.00,0.00
Regina,Disley,67.00,35.00,0.00,35.00,0.00,0.00
Regina,Earl Grey,246.00,95.00,15.00,80.00,0.00,0.00
Regina,Edenwold,"4,723.00","2,045.00",225.00,"1,805.00",10.00,10.00
Regina,Findlater,45.00,0.00,0.00,0.00,0.00,0.00
Regina,Grand Coulee,649.00,310.00,0.00,300.00,0.00,10.00
Regina,Kannata Valley,88.00,40.00,10.00,30.00,10.00,0.00
Regina,Lumsden,"1,824.00",765.00,170.00,580.00,10.00,0.00
