wave,regressor,coefficient,se,p.value,sds,type,CI025,CI975,t.value
1,PHU_pop_density,1.85764459252886,0.380697653824055,5.61471454373827e-06,,OLS,1.11147719103371,2.60381199402401,4.87957982895108
1,group_0_to_4,0.0903367741835705,0.059041169348686,0.130098966808105,,OLS,-0.025383917739854,0.206057466106995,1.53006410916523
1,group_5_to_19,-0.0411557069084858,0.0174416271699818,0.0208277904285357,,OLS,-0.0753412961616501,-0.00697011765532153,-2.35962542413001
1,group_20_to_49,-0.0126787771514299,0.00676340451610863,0.0646381277507985,,OLS,-0.0259350500030028,0.000577495700143054,-1.87461464433073
1,group_50_to_64,0.0632280242420427,0.0254725097061852,0.015234603928966,,OLS,0.0133019052179198,0.113154143266166,2.48220630677353
1,group_65_plus,-0.0110610832992442,0.0182072516841313,0.545300163077504,,OLS,-0.0467472966001416,0.0246251300016531,-0.607509770894453
1,interaction_popdensity_cma,0.31329409620482,0.0246970759869085,1.50250708514128e-20,,OLS,0.26488782727048,0.361700365139161,12.6854732265023
1,interaction_popdensity_ca,0.973677683316104,1.22589634734127,0.429486515759252,,OLS,-1.42907915747278,3.37643452410498,0.794257757132424
1,interaction_popdensity_strong,0.0151265299154025,0.194875002383017,0.938330327216843,,OLS,-0.36682847475531,0.397081534586115,0.0776217048386334
1,interaction_popdensity_moderate,0.937345082751772,0.57739652385239,0.108591313169778,,OLS,-0.194352103998912,2.06904226950246,1.62339924822859
1,interaction_popdensity_weak,-4.30700496111422,0.796354397987888,6.91879278245881e-07,,OLS,-5.86785958117048,-2.74615034105796,-5.40840230429634
1,interaction_popdensity_none,-14.4990057557882,607.768289278353,0.981029074768517,,OLS,-1205.72485274136,1176.72684122978,-0.0238561405910201
2,EIs,91.0071919503017,48.3158149822621,0.0596204387158317,0.595479823278062,Ridge,-3.69180541493199,185.706189315535,
2,is_cma,27.7963639960384,3.31287363505385,4.84454754763681e-17,7.66081877672987,Ridge,21.3031316713328,34.2895963207439,
2,is_ca,-16.9531045265079,4.44078276145271,0.000134759584624979,6.34993979461136,Ridge,-25.6570387389553,-8.24917031406063,
2,is_miz_strong,0.450641282862376,2.17458553934721,0.835829549130492,11.5726730347135,Ridge,-3.81154637425815,4.7128289399829,
2,is_miz_moderate,-4.64981128017245,1.77089956316532,0.00864766874062118,15.3745337704853,Ridge,-8.12077442397647,-1.17884813636843,
2,is_miz_weak,-11.9702553727475,3.70974203353117,0.00125223053194903,7.62686234369167,Ridge,-19.2413497584686,-4.69916098702645,
2,is_miz_none,-7.61930117021994,4.76472594312573,0.109797083151717,5.86204886012459,Ridge,-16.9581640187464,1.71956167830648,
2,LTCHs,7.7965351154601,0.668086988539933,1.81551100622258e-31,36.2705445988654,Ridge,6.48708461792183,9.10598561299837,
2,PHU_pop_density,0.723107115455939,0.0376091263695606,2.20393124624153e-82,612.229588957845,Ridge,0.6493932277716,0.796821003140278,
2,group_0_to_4,0.0236253263181578,0.000798760783443309,2.91220053534629e-192,23980.0074988202,Ridge,0.0220597551826089,0.0251908974537066,
2,group_5_to_19,0.00765455007147608,0.000268915940906004,3.22652594014651e-178,72581.8420212996,Ridge,0.00712747482730031,0.00818162531565185,
2,group_20_to_49,0.00296162536353537,0.000100858415948297,1.57479735852591e-189,189483.277088305,Ridge,0.0027639428682767,0.00315930785879403,
2,group_50_to_64,0.00624694307557555,0.00021804400819063,1.60679841633996e-180,86166.3903448384,Ridge,0.00581957681952192,0.00667430933162919,
2,group_65_plus,0.00790419881465963,0.000283032277069312,1.25989607628429e-171,65473.2435913677,Ridge,0.00734945555160378,0.00845894207771548,
2,interaction_children_school_closures,0.00446579818274086,0.000169260156188669,2.07891093500245e-153,118265.712851737,Ridge,0.00413404827661107,0.00479754808887065,
2,interaction_popdensity_cma,0.0528106654872974,0.00404158659839613,5.09544671901236e-39,6210.79302982291,Ridge,0.044889155754441,0.0607321752201538,
2,interaction_popdensity_ca,0.0366522904409751,0.159976046966124,0.818782554955164,164.588826103841,Ridge,-0.276900761612628,0.350205342494578,
2,interaction_popdensity_strong,0.0506686531630125,0.0225541783358395,0.0246700379004449,1137.17070644679,Ridge,0.00646246362476704,0.0948748427012579,
2,interaction_popdensity_moderate,0.0733983635203913,0.0627004495698624,0.24175179027076,400.36560700795,Ridge,-0.049494517636539,0.196291244677322,
2,interaction_popdensity_weak,0.204670131049923,0.234711071319351,0.383203550336092,123.637509278778,Ridge,-0.255363568736004,0.664703830835851,
2,interaction_popdensity_none,-150.753256677666,103.599212236966,0.145625433931133,0.270273217390659,Ridge,-353.80771266212,52.3011993067878,
2,previous_wave_incidence,0.137208171620547,0.0061245256595609,3.67377818140163e-111,3485.35812366746,Ridge,0.125204101327807,0.149212241913286,
2,interaction_vaccination_20_to_49,0.0467482540143642,0.00160096124979981,1.93265603774871e-187,11413.6838725975,Ridge,0.0436103699647566,0.0498861380639718,
2,interaction_vaccination_50_to_64,0.0918572702367136,0.0033883688456099,7.59108730886355e-162,5408.06949665898,Ridge,0.0852160672993182,0.098498473174109,
2,interaction_vaccination_65_plus,0.108279863804229,0.0043139184961979,4.95857425722811e-139,4331.75946298241,Ridge,0.0998245835516816,0.116735144056777,
2,(Intercept),158.252405904968,1833.10340481449,0.93144683703839,,OLS,-3434.63026753143,3751.13507934137,0.0863303212952045
2,EIs,-376.240226607928,1010.64765745912,0.710796000762859,,OLS,-2357.10963522781,1604.62918201195,-0.372276355494492
2,is_cma,100.656288749723,86.1524747717605,0.246573554345781,,OLS,-68.2025618029274,269.515139302374,1.16835052059023
2,is_ca,27.7758294343309,88.0490378581543,0.753338824310076,,OLS,-144.800284767652,200.351943636313,0.315458636573375
2,is_miz_strong,35.1911482587659,82.9468116510584,0.672657805218641,,OLS,-127.384602577309,197.76689909484,0.424261614862407
2,is_miz_moderate,-65.8394972448536,51.6541370921503,0.206598880271502,,OLS,-167.081605945468,35.4026114557609,-1.27462195578637
2,is_miz_weak,25.1968161694486,56.5777400367055,0.657422797223799,,OLS,-85.6955543024942,136.089186641391,0.445348579725911
2,is_miz_none,31.3334690805159,201.417512064879,0.876817535350198,,OLS,-363.444854566648,426.111792727679,0.155564770705851
2,LTCHs,-81.1982065412625,25.0264204400777,0.00179539262819956,,OLS,-130.249990603815,-32.1464224787101,-3.24449941755275
2,PHU_pop_density,1.64596580633646,1.72114800384838,0.342156274464647,,OLS,-1.72748428120637,5.01941589387929,0.956318574960537
2,group_0_to_4,-0.243946537509975,0.293640751263601,0.408891256945052,,OLS,-0.819482409986632,0.331589334966683,-0.830765268309044
2,group_5_to_19,0.231761901904245,0.0734966593443569,0.00236567720264379,,OLS,0.0877084495893056,0.375815354219185,3.1533664791261
2,group_20_to_49,0.148394134414541,0.0865961276625575,0.0909590725552775,,OLS,-0.0213342758040722,0.318122544633153,1.71363475966031
2,group_50_to_64,-0.454279761664241,0.227607533262469,0.0497826385534628,,OLS,-0.900390526858681,-0.00816899646980118,-1.99589071219528
2,group_65_plus,0.149997296245416,0.1743093187392,0.392397032559342,,OLS,-0.191648968483416,0.491643560974248,0.860523678999863
2,interaction_children_school_closures,0.00560748817287106,0.0207447310558927,0.787706707641527,,OLS,-0.0350521846966787,0.0462671610424208,0.270309032098934
