province,HA,CSD,SAC,population,commuting_population,commute_1,commute_2,commute_3,commute_4,airport,hospital,notes
Saskatchewan,North East,Choiceland,none,359,105,45,45,10,0,,,
Saskatchewan,North East,Codette,none,198,100,0,100,0,0,,,
Saskatchewan,North East,Cumberland House,moderate,1466,245,125,105,0,20,,,
Saskatchewan,North East,Hudson Bay,weak,2511,780,380,355,30,15,,,
Saskatchewan,North East,Kinistino,moderate,1208,320,85,100,125,0,,,
Saskatchewan,North East,Love,none,50,35,0,30,0,0,,,
Saskatchewan,North East,Melfort,weak,5992,2345,1830,160,330,20,,,
Saskatchewan,North East,Mistatim,none,101,20,0,20,0,0,,,
Saskatchewan,North East,Naicam,weal,661,250,155,50,40,0,,,
Saskatchewan,North East,Nipawin,moderate,5405,1780,1300,410,60,10,,1,
Saskatchewan,North East,Pleasantdale,weak,672,250,0,165,80,0,,,
Saskatchewan,North East,Porcupine Plain,weak,862,275,205,55,10,10,,,
Saskatchewan,North East,Ridgedale,none,55,,,,,,,,
Saskatchewan,North East,Smeaton,none,182,40,10,10,25,0,,,
Saskatchewan,North East,St. Brieux,none,667,315,285,10,15,0,,,
Saskatchewan,North East,Star City,weak,1305,313,10,370,10,0,,,
Saskatchewan,North East,Tisdale,weak,3235,1215,1045,110,55,10,,,
Saskatchewan,North East,Tobin Lake,moderate,89,20,0,20,0,0,,,
Saskatchewan,North East,Valparaiso,none,15,,,,,,,,
Saskatchewan,North East,Weekes,none,40,25,0,25,0,0,,,
Saskatchewan,North East,Weldon,none,197,65,0,50,20,0,,,
Saskatchewan,North East,White Fox,none,355,65,20,45,0,0,,,
Saskatchewan,North East,Zenon Park,weak,194,40,10,35,0,0,,,
Saskatchewan,North West,Aquadeo,none,111,20,0,10,15,0,,,
Saskatchewan,North West,Battleford,ca (north battleford),4429,1780,295,20,1450,10,,,
Saskatchewan,North West,Big Shell,weak,48,10,0,0,0,0,,,
Saskatchewan,North West,Cochin,none,148,30,0,10,25,0,,,
Saskatchewan,North West,Cut Knife,moderate,937,295,120,100,70,10,,,
Saskatchewan,North West,Denholm,none,88,20,0,20,0,0,,,
Saskatchewan,North West,Denzil,none,143,25,0,20,0,10,,,
Saskatchewan,North West,Echo Bay,none,40,,,,,,,,
Saskatchewan,North West,Edam,moderate,480,100,45,40,0,10,,,
Saskatchewan,North West,Glaslyn,moderate,387,120,85,15,25,0,,,
Saskatchewan,North West,Hafford,strong,407,90,40,20,35,0,,,
Saskatchewan,North West,Kivimaa-Moonlight Bay,none,84,20,10,10,0,0,,,
Saskatchewan,North West,Krydor,none,15,,,,,,,,
Saskatchewan,North West,Landis,none,152,40,10,10,20,0,,,
Saskatchewan,North West,Lashburn,ca (lloydminster),983,325,50,110,10,160,,,
Saskatchewan,North West,Leoville,moderate,375,100,60,30,0,0,,,
Saskatchewan,North West,Lloydminster,ca (lloydminster),11765,4855,1310,290,35,3220,,1,
Saskatchewan,North West,Macklin,weak,1374,410,280,25,0,95,,,
Saskatchewan,North West,Maidstone,weak,1185,355,245,55,25,30,,,
Saskatchewan,North West,Marsden,moderate,297,60,30,15,10,15,,,
Saskatchewan,North West,Marshall,ca (lloydminster),561,145,15,30,10,100,,,
Saskatchewan,North West,Maymont,strong,138,60,10,30,15,0,,,
Saskatchewan,North West,Medstead ,moderate,638,180,25,80,65,0,,,
Saskatchewan,North West,Meota,strong,1237,450,30,65,330,30,,,
Saskatchewan,North West,Mervin,moderate,1415,365,55,250,30,15,,,
Saskatchewan,North West,Metinota,strong,80,25,0,0,25,0,,,
Saskatchewan,North West,Neilburg,moderate,379,170,115,15,10,30,,,
Saskatchewan,North West,North Battleford,ca (north battleford),15194,5880,4690,530,921,50,,3,
Saskatchewan,North West,Onion Lake Cree Nation,moderate,0,,,,,,,,
Saskatchewan,North West,Paradise Hill,moderate,491,205,125,65,0,10,,,
Saskatchewan,North West,Paynton,strong,403,115,10,90,0,15,,,
Saskatchewan,North West,Poundmaker Cree Nation,strong,547,60,0,45,10,0,,,
Saskatchewan,North West,Primate,none,52,,,,,,,,
Saskatchewan,North West,Richard,none,20,,,,,,,,
Saskatchewan,North West,Ruddell,none,20,,,,,,,,
Saskatchewan,North West,Scott,strong,268,55,0,35,15,0,,,
Saskatchewan,North West,Senlac,moderate,246,30,0,20,0,0,,,
Saskatchewan,North West,Shell Lake,none,175,25,0,20,10,0,,,
Saskatchewan,North West,Speers,none,60,15,10,10,0,0,,,
Saskatchewan,North West,Spiritwood,none,2133,620,240,325,45,10,,,
Saskatchewan,North West,St. Walburg,moderate,689,185,130,35,0,20,,,
Saskatchewan,North West,Sweetgrass First Nation,moderate,643,95,35,10,55,10,,,
Saskatchewan,North West,Thunderchild First Nation,moderate,740,80,0,75,0,0,,,
Saskatchewan,North West,Turtleford,moderate,496,205,35,160,10,10,,,
Saskatchewan,North West,Unity,weak,2573,975,830,95,35,15,,,
Saskatchewan,North West,Waseca,moderate,149,85,0,65,0,0,,,
Saskatchewan,North West,Wilkie,moderate,1219,395,285,40,60,0,,,
Saskatchewan,Regina,Balgonie,cma (regina),1765,825,80,740,0,0,,,
Saskatchewan,Regina,Belle Plaine,cma (regina),85,30,0,0,25,0,,,
Saskatchewan,Regina,Bethune,strong,399,165,15,135,15,0,,,
Saskatchewan,Regina,Buena Vista,cma (regina),612,195,0,180,0,0,,,
Saskatchewan,Far North West,Buffalo Narrows,moderate,1110,360,305,35,10,10,regional,,
Saskatchewan,Regina,Craven,strong,214,155,20,125,10,0,,,
