Date,PHU ID,PHU name,Agegroup,At least one dose_cumulative,Second_dose_cumulative,fully_vaccinated_cumulative,Total population,Percent_at_least_one_dose,Percent_fully_vaccinated
2021-07-27,2256,PORCUPINE,60-69yrs,10697,9908,,12077,0.8857,0.8204
2021-07-27,2257,RENFREW COUNTY AND DISTRICT,60-69yrs,15154,14146,,15644,0.9687,0.9043
2021-07-27,2260,SIMCOE MUSKOKA DISTRICT,60-69yrs,74816,64696,,79793,0.9376,0.8108
2021-07-27,4913,SOUTHWESTERN,60-69yrs,25586,22342,,27383,0.9344,0.8159
2021-07-27,2261,SUDBURY AND DISTRICT,60-69yrs,25921,23992,,28512,0.9091,0.8415
2021-07-27,2262,THUNDER BAY DISTRICT,60-69yrs,20568,18772,,22248,0.9245,0.8438
2021-07-27,2263,TIMISKAMING,60-69yrs,4765,4407,,5410,0.8808,0.8146
2021-07-27,3895,TORONTO,60-69yrs,290317,264440,,327676,0.886,0.807
2021-07-27,9999,UNKNOWN,60-69yrs,560,176,,0,,
2021-07-27,2265,WATERLOO REGION,60-69yrs,56401,50437,,64550,0.8738,0.7814
