date,HR,cases,province
2020-02-03,Terres-Cries-de-la-Baie-James,0,Quebec
2020-02-04,Bas-Saint-Laurent,0,Quebec
2020-02-04,Saguenay-Lac-Saint-Jean,0,Quebec
2020-02-04,Capitale-Nationale,0,Quebec
2020-02-04,Mauricie et Centre-du-Quebec,0,Quebec
2020-02-04,Estrie,0,Quebec
2020-02-04,Montreal,0,Quebec
2020-02-04,Outaouais,0,Quebec
2020-02-04,Abitibi-Temiscamingue,0,Quebec
2020-02-04,Cote-Nord,0,Quebec
2020-02-04,Nord-du-Quebec,0,Quebec
2020-02-04,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-02-04,Chaudiere-Appalaches,0,Quebec
2020-02-04,Laval,0,Quebec
2020-02-04,Lanaudiere,0,Quebec
2020-02-04,Laurentides,0,Quebec
2020-02-04,Monteregie,0,Quebec
2020-02-04,Nunavik,0,Quebec
2020-02-04,Terres-Cries-de-la-Baie-James,0,Quebec
2020-02-05,Bas-Saint-Laurent,0,Quebec
2020-02-05,Saguenay-Lac-Saint-Jean,0,Quebec
2020-02-05,Capitale-Nationale,0,Quebec
2020-02-05,Mauricie et Centre-du-Quebec,0,Quebec
2020-02-05,Estrie,0,Quebec
2020-02-05,Montreal,0,Quebec
2020-02-05,Outaouais,0,Quebec
2020-02-05,Abitibi-Temiscamingue,0,Quebec
2020-02-05,Cote-Nord,0,Quebec
2020-02-05,Nord-du-Quebec,0,Quebec
2020-02-05,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-02-05,Chaudiere-Appalaches,0,Quebec
2020-02-05,Laval,0,Quebec
2020-02-05,Lanaudiere,0,Quebec
2020-02-05,Laurentides,0,Quebec
2020-02-05,Monteregie,0,Quebec
2020-02-05,Nunavik,0,Quebec
2020-02-05,Terres-Cries-de-la-Baie-James,0,Quebec
2020-02-06,Bas-Saint-Laurent,0,Quebec
2020-02-06,Saguenay-Lac-Saint-Jean,0,Quebec
2020-02-06,Capitale-Nationale,0,Quebec
2020-02-06,Mauricie et Centre-du-Quebec,0,Quebec
2020-02-06,Estrie,0,Quebec
2020-02-06,Montreal,0,Quebec
2020-02-06,Outaouais,0,Quebec
2020-02-06,Abitibi-Temiscamingue,0,Quebec
2020-02-06,Cote-Nord,0,Quebec
2020-02-06,Nord-du-Quebec,0,Quebec
2020-02-06,Gaspesie-Iles-de-la-Madeleine,0,Quebec
2020-02-06,Chaudiere-Appalaches,0,Quebec
2020-02-06,Laval,0,Quebec
2020-02-06,Lanaudiere,0,Quebec
2020-02-06,Laurentides,0,Quebec
2020-02-06,Monteregie,0,Quebec
2020-02-06,Nunavik,0,Quebec
2020-02-06,Terres-Cries-de-la-Baie-James,0,Quebec
2020-02-07,Bas-Saint-Laurent,0,Quebec
2020-02-07,Saguenay-Lac-Saint-Jean,0,Quebec
2020-02-07,Capitale-Nationale,0,Quebec
2020-02-07,Mauricie et Centre-du-Quebec,0,Quebec
2020-02-07,Estrie,0,Quebec
2020-02-07,Montreal,0,Quebec
2020-02-07,Outaouais,0,Quebec
