Date,Agegroup,Percent_at_least_one_dose
2021-01-09,Ontario_12plus,0.0089
2021-01-10,12-17yrs,0
2021-01-10,18-29yrs,0.007
2021-01-10,30-39yrs,0.011
2021-01-10,40-49yrs,0.013
2021-01-10,50-59yrs,0.013
2021-01-10,60-69yrs,0.01
2021-01-10,70-79yrs,0.005
2021-01-10,80+,0.021
2021-01-10,Ontario_12plus,0.0097
2021-01-11,12-17yrs,0
2021-01-11,18-29yrs,0.007
2021-01-11,30-39yrs,0.012
2021-01-11,40-49yrs,0.014
2021-01-11,50-59yrs,0.014
2021-01-11,60-69yrs,0.01
2021-01-11,70-79yrs,0.006
2021-01-11,80+,0.024
2021-01-11,Ontario_12plus,0.0106
2021-01-12,12-17yrs,0
2021-01-12,18-29yrs,0.008
2021-01-12,30-39yrs,0.013
2021-01-12,40-49yrs,0.015
2021-01-12,50-59yrs,0.015
2021-01-12,60-69yrs,0.011
2021-01-12,70-79yrs,0.007
2021-01-12,80+,0.028
2021-01-12,Ontario_12plus,0.0116
2021-01-13,12-17yrs,0
2021-01-13,18-29yrs,0.008
2021-01-13,30-39yrs,0.014
2021-01-13,40-49yrs,0.016
2021-01-13,50-59yrs,0.016
2021-01-13,60-69yrs,0.012
2021-01-13,70-79yrs,0.007
2021-01-13,80+,0.034
2021-01-13,Ontario_12plus,0.0126
2021-01-14,12-17yrs,0
2021-01-14,18-29yrs,0.009
2021-01-14,30-39yrs,0.014
2021-01-14,40-49yrs,0.017
2021-01-14,50-59yrs,0.017
2021-01-14,60-69yrs,0.013
2021-01-14,70-79yrs,0.009
2021-01-14,80+,0.042
2021-01-14,Ontario_12plus,0.0139
2021-01-15,12-17yrs,0
2021-01-15,18-29yrs,0.01
2021-01-15,30-39yrs,0.016
2021-01-15,40-49yrs,0.018
2021-01-15,50-59yrs,0.019
2021-01-15,60-69yrs,0.015
2021-01-15,70-79yrs,0.01
2021-01-15,80+,0.049
2021-01-15,Ontario_12plus,0.0152
2021-01-16,12-17yrs,0
2021-01-16,18-29yrs,0.01
2021-01-16,30-39yrs,0.016
2021-01-16,40-49yrs,0.019
2021-01-16,50-59yrs,0.02
2021-01-16,60-69yrs,0.016
2021-01-16,70-79yrs,0.011
2021-01-16,80+,0.055
2021-01-16,Ontario_12plus,0.0163
2021-01-17,12-17yrs,0
2021-01-17,18-29yrs,0.01
2021-01-17,30-39yrs,0.017
2021-01-17,40-49yrs,0.019
2021-01-17,50-59yrs,0.02
2021-01-17,60-69yrs,0.016
2021-01-17,70-79yrs,0.011
2021-01-17,80+,0.06
2021-01-17,Ontario_12plus,0.0171
2021-01-18,12-17yrs,0
2021-01-18,18-29yrs,0.011
2021-01-18,30-39yrs,0.017
2021-01-18,40-49yrs,0.02
2021-01-18,50-59yrs,0.021
2021-01-18,60-69yrs,0.017
2021-01-18,70-79yrs,0.012
2021-01-18,80+,0.063
2021-01-18,Ontario_12plus,0.0176
2021-01-19,12-17yrs,0
2021-01-19,18-29yrs,0.011
2021-01-19,30-39yrs,0.018
2021-01-19,40-49yrs,0.02
2021-01-19,50-59yrs,0.022
2021-01-19,60-69yrs,0.017
2021-01-19,70-79yrs,0.013
2021-01-19,80+,0.068
2021-01-19,Ontario_12plus,0.0183
2021-01-20,12-17yrs,0
2021-01-20,18-29yrs,0.011
2021-01-20,30-39yrs,0.018
2021-01-20,40-49yrs,0.021
2021-01-20,50-59yrs,0.022
2021-01-20,60-69yrs,0.018
2021-01-20,70-79yrs,0.013
2021-01-20,80+,0.073
2021-01-20,Ontario_12plus,0.0188
2021-01-21,12-17yrs,0
2021-01-21,18-29yrs,0.011
2021-01-21,30-39yrs,0.018
2021-01-21,40-49yrs,0.021
2021-01-21,50-59yrs,0.022
2021-01-21,60-69yrs,0.018
2021-01-21,70-79yrs,0.014
2021-01-21,80+,0.077
2021-01-21,Ontario_12plus,0.0193
2021-01-22,12-17yrs,0
2021-01-22,18-29yrs,0.011
2021-01-22,30-39yrs,0.018
2021-01-22,40-49yrs,0.021
2021-01-22,50-59yrs,0.022
2021-01-22,60-69yrs,0.018
2021-01-22,70-79yrs,0.014
2021-01-22,80+,0.08
2021-01-22,Ontario_12plus,0.0196
2021-01-23,12-17yrs,0
2021-01-23,18-29yrs,0.011
2021-01-23,30-39yrs,0.018
2021-01-23,40-49yrs,0.021
2021-01-23,50-59yrs,0.022
2021-01-23,60-69yrs,0.019
2021-01-23,70-79yrs,0.015
2021-01-23,80+,0.082
2021-01-23,Ontario_12plus,0.0197
2021-01-24,12-17yrs,0
2021-01-24,18-29yrs,0.011
2021-01-24,30-39yrs,0.018
2021-01-24,40-49yrs,0.021
2021-01-24,50-59yrs,0.022
2021-01-24,60-69yrs,0.019
2021-01-24,70-79yrs,0.015
2021-01-24,80+,0.084
2021-01-24,Ontario_12plus,0.0199
2021-01-25,12-17yrs,0
2021-01-25,18-29yrs,0.011
2021-01-25,30-39yrs,0.018
2021-01-25,40-49yrs,0.021
2021-01-25,50-59yrs,0.022
2021-01-25,60-69yrs,0.019
2021-01-25,70-79yrs,0.015
2021-01-25,80+,0.085
2021-01-25,Ontario_12plus,0.0199
2021-01-26,12-17yrs,0
2021-01-26,18-29yrs,0.011
2021-01-26,30-39yrs,0.018
2021-01-26,40-49yrs,0.021
2021-01-26,50-59yrs,0.023
2021-01-26,60-69yrs,0.019
2021-01-26,70-79yrs,0.015
2021-01-26,80+,0.087
2021-01-26,Ontario_12plus,0.0201
2021-01-27,12-17yrs,0
2021-01-27,18-29yrs,0.011
2021-01-27,30-39yrs,0.018
2021-01-27,40-49yrs,0.021
2021-01-27,50-59yrs,0.023
2021-01-27,60-69yrs,0.019
2021-01-27,70-79yrs,0.016
2021-01-27,80+,0.089
2021-01-27,Ontario_12plus,0.0203
2021-01-28,12-17yrs,0
2021-01-28,18-29yrs,0.011
2021-01-28,30-39yrs,0.018
2021-01-28,40-49yrs,0.021
2021-01-28,50-59yrs,0.023
2021-01-28,60-69yrs,0.019
2021-01-28,70-79yrs,0.016
2021-01-28,80+,0.094
2021-01-28,Ontario_12plus,0.0206
2021-01-29,12-17yrs,0
2021-01-29,18-29yrs,0.011
2021-01-29,30-39yrs,0.018
2021-01-29,40-49yrs,0.021
2021-01-29,50-59yrs,0.023
2021-01-29,60-69yrs,0.019
2021-01-29,70-79yrs,0.017
2021-01-29,80+,0.097
