province,date,HA,cases
Newfoundland and Labrador,0009-06-20,Central,0
Newfoundland and Labrador,0010-06-20,Central,0
Newfoundland and Labrador,0011-06-20,Central,0
Newfoundland and Labrador,0012-06-20,Central,0
Newfoundland and Labrador,0013-06-20,Central,0
Newfoundland and Labrador,0014-06-20,Central,0
Newfoundland and Labrador,0015-06-20,Central,0
Newfoundland and Labrador,0016-06-20,Central,0
Newfoundland and Labrador,0017-06-20,Central,0
Newfoundland and Labrador,0018-06-20,Central,0
Newfoundland and Labrador,0019-06-20,Central,0
Newfoundland and Labrador,0020-06-20,Central,0
Newfoundland and Labrador,0021-06-20,Central,0
Newfoundland and Labrador,0022-06-20,Central,0
Newfoundland and Labrador,0023-06-20,Central,0
Newfoundland and Labrador,0024-06-20,Central,0
Newfoundland and Labrador,0025-06-20,Central,0
Newfoundland and Labrador,0026-06-20,Central,0
Newfoundland and Labrador,0027-06-20,Central,0
Newfoundland and Labrador,0028-06-20,Central,0
Newfoundland and Labrador,0029-06-20,Central,0
Newfoundland and Labrador,0030-06-20,Central,0
Newfoundland and Labrador,0001-07-20,Central,0
Newfoundland and Labrador,0002-07-20,Central,0
Newfoundland and Labrador,0003-07-20,Central,0
Newfoundland and Labrador,0004-07-20,Central,0
Newfoundland and Labrador,0005-07-20,Central,0
Newfoundland and Labrador,0006-07-20,Central,0
Newfoundland and Labrador,0007-07-20,Central,0
Newfoundland and Labrador,0008-07-20,Central,0
Newfoundland and Labrador,0009-07-20,Central,0
Newfoundland and Labrador,0010-07-20,Central,0
Newfoundland and Labrador,0011-07-20,Central,0
Newfoundland and Labrador,0012-07-20,Central,0
Newfoundland and Labrador,0013-07-20,Central,0
Newfoundland and Labrador,0014-07-20,Central,0
Newfoundland and Labrador,0015-07-20,Central,0
Newfoundland and Labrador,0016-07-20,Central,0
Newfoundland and Labrador,0017-07-20,Central,0
Newfoundland and Labrador,0018-07-20,Central,0
Newfoundland and Labrador,0019-07-20,Central,0
Newfoundland and Labrador,0020-07-20,Central,0
Newfoundland and Labrador,0021-07-20,Central,1
Newfoundland and Labrador,0022-07-20,Central,1
Newfoundland and Labrador,0023-07-20,Central,0
Newfoundland and Labrador,0024-07-20,Central,0
Newfoundland and Labrador,0025-07-20,Central,0
Newfoundland and Labrador,0026-07-20,Central,1
Newfoundland and Labrador,0027-07-20,Central,0
Newfoundland and Labrador,0028-07-20,Central,0
Newfoundland and Labrador,0029-07-20,Central,0
Newfoundland and Labrador,0030-07-20,Central,0
Newfoundland and Labrador,0031-07-20,Central,0
Newfoundland and Labrador,0001-08-20,Central,0
Newfoundland and Labrador,0002-08-20,Central,0
Newfoundland and Labrador,0003-08-20,Central,0
Newfoundland and Labrador,0004-08-20,Central,0
Newfoundland and Labrador,0005-08-20,Central,0
Newfoundland and Labrador,0006-08-20,Central,0
Newfoundland and Labrador,0007-08-20,Central,0
Newfoundland and Labrador,0008-08-20,Central,0
