HR,province,pr_uid,index_of_remoteness,area_sq_km,population,dwellings,households,number_of_families,number_of_families_of_size_2,number_of_families_of_size_3,number_of_families_of_size_4,number_of_families_of_size_5_or_larger,couples_with_0_children,couples_with_children,couples_with_1_child,couples_with_2_children,couples_with_3_or_more_children,singles_with_children,singles_with_1_child,singles_with_2_children,singles_with_3_or_more_children,people_not_in_census_families,people_commuting_within_csd,people_commuting_within_cd_but_not_csd,people_commuting_within_province_but_not_cd,people_commuting_outside_province,num_csds,aR_score,mR_score,mean_mR_score,wave_1_cumulative,wave_2_cumulative,wave_3_cumulative,wave_4_cumulative,total_cumulative,mR_weighted_by_pop,HRUID,total_commuters,F0,families_with_no_children,families_with_children_of_size_2_or_smaller,families_with_children_of_size_3_or_larger,families_with_children_of_size_3_or_smaller,families_with_children_of_size_4_or_larger,population_density,log_pop,F3,F4,F0_prop,F3_prop,F4_prop,wave_1_proportion,wave_2_proportion,wave_3_proportion,log_pop_density,log_F0,log_F3,log_F4,F0_normalised,F3_normalised,F4_normalised,mR_normalised,pop_density_normalised
Far North Central,Saskatchewan,47,3.3805,320105.79247,3659,2036,1023,1000,440,240,135,190,315,435,180,115,160,250,125,70,60,370,435,350,45,30,5,11,19,4.75,0,271,84,83,438,4.69527193222192,1,860,685,685,125,585,375,335,0.0114305960281644,8.20494516501921,375,335,0.491039426523298,0.268817204301075,0.240143369175627,0,0.0740639518994261,0.0229570921016671,-4.47146165658883,6.52941883826223,5.92692602597041,5.81413053182507,-0.758044278502996,-0.731232679250903,-0.720672700119284,2.12707207101981,-0.2909491778085
Far North East,Saskatchewan,47,16.7712,320275.13806,21509,7544,5861,5595,2275,1270,870,1170,1260,2230,730,615,880,2125,1010,555,575,2535,2390,1750,80,735,29,41,69,4.92857142857143,0,1495,637,292,2424,4.17778604305175,2,4955,3795,3795,1010,3355,2295,2070,0.067157882220538,9.97622673117643,2295,2070,0.465073529411765,0.28125,0.253676470588235,0,0.0695057882746757,0.029615509786601,-2.70070898061516,8.24143968982973,7.73848812249465,7.63530388625942,-0.732720543588889,-0.681491442918781,-0.670454310682217,1.64939643645372,-0.290855965860741
Far North West,Saskatchewan,47,21.5983,332921.79317,26681,11985,8701,7200,3260,1565,1230,1165,2090,2635,965,880,835,2460,1165,605,690,3580,3550,2485,220,490,40,50,90,4.28571428571429,0,1336,884,367,2587,3.94988943442899,3,6745,5670,5670,1165,3975,2735,2405,0.0801419448872663,10.1917069805865,2735,2405,0.524514338575393,0.253006475485661,0.222479185938945,0,0.0500730857164274,0.0331321914470972,-2.52395590544788,8.6429443967218,7.91388671485608,7.78530518253986,-0.717453018520093,-0.67009240959267,-0.660757964594944,1.43903194262394,-0.290834248137634
Fraser East,British Columbia,59,13.2337,18380.39853,297919,117237,109237,83805,43175,16340,15865,8435,35590,35405,12625,14740,8020,12815,7600,3705,1520,45890,57705,19595,25605,590,62,49,87,2.28947368421053,518,6888,6863,556,14825,1.46187722166092,5921,103495,81480,81480,7600,40610,23930,24280,16.208516888997,12.6045769164594,23930,24280,0.628267406893361,0.18451692497494,0.187215668131699,0.00173872764073456,0.0231203783578758,0.0230364629311994,2.7855368379774,11.3081128703407,10.0828881809024,10.0974082451734,-0.100156444938575,-0.120995792895104,-0.0276010372543945,-0.857577177381195,-0.263857207885794
Fraser North,British Columbia,59,1.7465,3709.72303,656622,271738,256087,184360,87110,45760,39945,11530,68305,86925,37560,38240,11110,29125,18805,8205,2120,115720,71720,190430,4025,1345,16,17,18,1.125,441,9166,11753,869,22229,1.00393833895301,5922,267520,184025,184025,18805,97235,64570,51470,177.000275947825,13.394863789428,64570,51470,0.613283788512489,0.215186709546265,0.171529501941246,0.000671619287809425,0.0139593251520662,0.017899187051302,5.17615129159987,12.1228268969269,11.0755051856205,10.8487543926468,0.734834679423869,0.931860376134811,0.759394933231985,-1.280286764189,0.00509026954610417
Fraser South,British Columbia,59,1.5439,1730.28036,800983,294916,276384,225015,100320,50165,53395,21120,80550,111570,40435,50795,20350,32880,19780,9730,3375,111815,117795,172965,8315,1540,13,13,13,1,705,25946,23716,1086,51453,1,5923,300615,192365,192365,19780,124685,69945,74520,462.920933807513,13.5935950023546,69945,74520,0.571104117804234,0.207656681411988,0.221239200783778,0.00088016849296427,0.0323926974729801,0.0296086184101286,6.13755627018927,12.1671498879837,11.1554644979105,11.2188228247155,0.802744630929869,1.07110993097083,1.42656143266968,-1.28392212623052,0.48333393157917
Gaspesie-Iles-de-la-Madeleine,Quebec,24,26.1677,20551.82469,90311,46460,40931,27015,16545,5795,3555,1140,13330,9080,4660,3305,1075,4595,3245,1130,270,17480,19275,6050,3155,560,54,86,150,4.28571428571429,189,1508,367,19,2083,4.24289399962352,2411,29040,30810,30810,3245,10440,9035,4650,4.39430568147767,11.4110145481544,9035,4650,0.692437352511518,0.203056523204855,0.104506124283627,0.00209276832279567,0.0166978551892903,0.00406373531463498,1.48030953947115,10.3355945915907,9.10886120302633,8.4446224985814,-0.51274604239769,-0.506878977877895,-0.59577797365188,1.70949562972949,-0.283618185194012
Grey Bruce,Ontario,35,4.6328,10947.30016,205348,110546,86137,61290,36370,10600,9290,5060,31920,22180,8625,8715,4840,7230,4470,1960,760,30855,31360,21585,19710,310,24,49,89,3.8695652173913,105,566,1154,345,2170,3.70434579348228,3533,72965,62775,62775,4470,24900,15055,14315,18.7578669625151,12.2324613798681,15055,14315,0.681263226436595,0.163383797276032,0.155352976287373,0.000511327112998422,0.00275629662816292,0.00561972846095409,2.93161323575512,11.0473121840258,9.61946544091583,9.56906321753222,-0.252465275024873,-0.350919476461554,-0.316031152954901,1.21237800488861,-0.259593051094571
Haldimand-Norfolk,Ontario,35,0.2002,2885.25271,109652,48192,43509,32735,18245,6220,5350,2920,15555,12795,5005,4995,2795,4385,2690,1220,475,14555,20935,2660,16845,120,2,3,5,2.5,431,902,1356,68,2757,2.41593404589064,3534,40560,30110,30110,2690,14490,8915,8265,38.0042966842929,11.6050669935338,8915,8265,0.636709663776697,0.188517657009939,0.174772679213364,0.00393061686061358,0.00822602414912633,0.0123663955057819,3.63769922397367,10.3126126214758,9.09549053029724,9.01978501025513,-0.518445918423374,-0.509987805148652,-0.491144268859373,0.0230839352470932,-0.227400613164038
Haliburton Kawartha Pine Ridge,Ontario,35,1.8994,13220.8245,254506,137033,106341,78775,48665,14310,11235,4590,41985,26415,11540,10470,4390,10385,6685,2760,945,38240,39655,9585,34840,245,14,24,44,3.14285714285714,195,761,1242,114,2312,2.38869024698828,3535,84325,80225,80225,6685,30105,20985,15805,19.2503879012992,12.4470796903333,20985,15805,0.685595863778148,0.179335982566338,0.135068153655514,0.000766190188050577,0.00299010632362302,0.00488004212081444,2.95753121124761,11.2925904659781,9.95156317576769,9.66808162464972,-0.110375508384621,-0.197291595498281,-0.272904121104047,-0.00206399477577341,-0.258769238575548
