HR,province,pr_uid,index_of_remoteness,area_sq_km,population,dwellings,households,number_of_families,number_of_families_of_size_2,number_of_families_of_size_3,number_of_families_of_size_4,number_of_families_of_size_5_or_larger,couples_with_0_children,couples_with_children,couples_with_1_child,couples_with_2_children,couples_with_3_or_more_children,singles_with_children,singles_with_1_child,singles_with_2_children,singles_with_3_or_more_children,people_not_in_census_families,people_commuting_within_csd,people_commuting_within_cd_but_not_csd,people_commuting_within_province_but_not_cd,people_commuting_outside_province,num_csds,aR_score,mR_score,mean_mR_score,wave_1_cumulative,wave_2_cumulative,wave_3_cumulative,wave_4_cumulative,total_cumulative,mR_weighted_by_pop,HRUID,total_commuters,F0,families_with_no_children,families_with_children_of_size_2_or_smaller,families_with_children_of_size_3_or_larger,families_with_children_of_size_3_or_smaller,families_with_children_of_size_4_or_larger,population_density,log_pop,F3,F4,F0_prop,F3_prop,F4_prop,wave_1_proportion,wave_2_proportion,wave_3_proportion,log_pop_density,log_F0,log_F3,log_F4,F0_normalised,F3_normalised,F4_normalised,mR_normalised,pop_density_normalised
Thompson Cariboo Shuswap,British Columbia,59,83.9132,187142.4401,228875,117578,97572,67650,41875,12145,9810,3825,35720,22145,9375,9085,3600,9785,6140,2810,885,42635,52035,22495,4230,985,190,130,242,3.36111111111111,69,2227,1374,731,4401,2.66705843801202,5914,79745,78355,78355,6140,25755,18325,13570,1.2229989086265,12.3409312819768,18325,13570,0.710702947845805,0.166213151927438,0.123083900226757,0.000301474604041507,0.00973020207536865,0.00600327689787002,0.201305964330557,11.2690050619573,9.81602152675485,9.51561675282892,-0.125602320053233,-0.266203933333408,-0.337594668880328,0.254889296266625,-0.288922654538172
Thunder Bay,Ontario,35,23.2639,120747.05984,151937,74091,64395,43045,23840,8995,7100,3130,18790,16030,6785,6435,2810,8235,5050,2220,945,28345,47140,9555,1155,310,43,36,56,2.94736842105263,93,1068,2178,16,3355,1.43708905664848,3562,58160,47135,47135,5050,19195,14055,10190,1.25830807144563,11.9312212402262,14055,10190,0.660339030540768,0.196903894648361,0.142757074810871,0.000612095802865662,0.00702922922000566,0.0143348888025958,0.229768018159009,10.7607711038303,9.55073348334063,9.22916212621677,-0.379816790798715,-0.376826370384534,-0.435426459253405,-0.88045838573846,-0.288863594855474
Timiskaming,Ontario,35,10.9752,16730.50721,33206,17761,14835,9785,5910,1790,1410,675,4995,3340,1405,1295,620,1420,890,370,130,6145,6435,4330,765,190,28,40,71,4.4375,18,73,117,1,209,4.25121965909775,3563,11720,11140,11140,890,3820,2665,2045,1.98475752009194,10.4104858614677,2665,2045,0.702839116719243,0.16813880126183,0.129022082018927,0.00054207071011263,0.00219839787990122,0.0035234596157321,0.685496750552522,9.31829751348127,7.88795933659995,7.6231530684769,-0.672912558719396,-0.671905892167279,-0.671177918599177,1.71718079517219,-0.287648503063215
Toronto,Ontario,35,0,634.43388,2731571,1179057,1112929,718750,344105,174600,143245,56795,250085,316075,133440,130765,51865,152595,94025,41160,17415,602855,882715,125,208240,3725,1,1,1,1,13579,75853,75906,2809,168147,1,3595,1094805,852940,852940,94025,374645,268625,200045,4305.52510846363,14.8203874595242,268625,200045,0.64537949924713,0.203255877301171,0.151364623451699,0.0049711319969351,0.0277690017942056,0.027788404548152,8.36765438583763,13.6564444840233,12.5010716339448,12.2062976202215,6.1815954961668,6.21829161558854,5.059796783729,-1.28392212623052,6.91064529126732
Vancouver,British Columbia,59,0.3706,988.66212,649271,318575,290597,165055,90420,36715,29595,8325,72555,65980,29850,28115,8015,26525,17870,6860,1800,181260,188465,88415,1915,1850,3,3,3,1,662,10555,11759,1155,24131,1,5932,280645,253815,253815,17870,74640,54580,37930,656.716776000278,13.3836054740154,54580,37930,0.732880964412041,0.157597632281816,0.109521403306143,0.00101960506475724,0.0162566940460917,0.0181110815052574,6.48725283878243,12.4443609341708,10.9074227942623,10.5434976346829,1.30311231918451,0.673050505844239,0.367488885406108,-1.28392212623052,0.807485512478694
Waterloo,Ontario,35,0.5141,1385.33679,535154,214299,203832,149835,70605,33010,32135,14070,56535,69305,25775,30125,13405,23985,14070,7240,2680,82220,109485,82725,38385,685,7,8,9,1.28571428571429,1315,8731,8001,718,18765,1.04208134480916,3565,231280,138755,138755,14070,79225,47085,46210,386.298843619103,13.1903098349244,47085,46210,0.597953027364792,0.202908855850032,0.199138116785176,0.00245723660852764,0.0163149299080265,0.0149508365816195,5.95661127618886,11.8404650669954,10.7597097579442,10.7409515038643,0.366215554162883,0.478878335891503,0.607147827503468,-1.24507810457547,0.355172401458755
Wellington Dufferin Guelph,Ontario,35,1.5485,5082.35571,296979,119383,112272,84625,41120,17685,17645,8170,34185,38665,14100,16695,7905,11770,6935,3600,1245,41885,60970,21505,43955,405,17,28,44,2.58823529411765,499,4044,3721,196,8460,1.77584947083801,3566,126835,76070,76070,6935,43545,24635,25845,58.4333362215609,12.6014167082143,24635,25845,0.601106282101936,0.194666139865666,0.204227578032398,0.00168025348593672,0.0136171244431424,0.0125295054532475,4.06788655268682,11.2394092479913,10.1119234749781,10.1598724376301,-0.144208343937071,-0.102731432679403,0.0176968183473408,-0.567758852861647,-0.193230089238775
Western,Newfoundland and Labrador,10,35.3927,38693.88192,82339,43515,36049,26230,16025,5835,3530,835,13225,8755,4695,3280,800,4235,2780,1110,345,13030,13090,8045,1795,825,71,103,196,3.62962962962963,4,31,128,1,164,3.15739807381678,1013,23755,26255,26255,2780,10230,8585,4425,2.12795914791482,11.3186001504845,8585,4425,0.668661657965109,0.218642556984592,0.112695785050299,4.8579652412587e-05,0.000376492306197549,0.00155454887720278,0.755163373886678,10.175611726072,9.05777177333158,8.39502555744203,-0.549835949964816,-0.518537080143236,-0.602290444904525,0.707507042156363,-0.287408977624894
Windsor-Essex,Ontario,35,2.0094,1868.69277,398953,168569,159053,111320,54885,23655,21715,11040,42890,47985,17660,19920,10405,20450,12010,5990,2455,63515,80365,64555,4125,390,9,9,12,1.5,1814,10712,4337,799,17662,1.22500394783345,3568,149435,106405,106405,12010,56430,35660,32780,213.493093356379,12.8965988944475,35660,32780,0.608567588435471,0.203952071835054,0.187480339729475,0.00454690151471477,0.0268502806094954,0.01087095472399,5.36360448252659,11.5750078472668,10.4817848914171,10.3975738522978,0.10279985497594,0.182892072821454,0.218425654512219,-1.07622776043135,0.0661297857741882
Winnipeg,Manitoba,46,1.4617,661.70499,720883,299791,286493,194105,94225,43240,38825,17810,72650,85950,33595,35955,16410,35500,21580,9650,4275,136065,290160,1930,20555,1390,4,6,8,2,238,17038,16311,479,34066,1.00498832681586,4601,314035,208715,208715,21580,99885,64825,56640,1089.43261860546,13.4882321284806,64825,56640,0.632124901568841,0.19633230359198,0.171542794839179,0.000330150662451466,0.0236349033060843,0.0226264178791843,6.99341230630917,12.2487249639852,11.0794466104069,10.9444707283676,0.935877449529762,0.938466634085172,0.909037050459442,-1.27931755202462,1.53126535663665
York,Ontario,35,0.5187,2097.55351,1109909,369928,357084,319530,119170,81010,88870,30480,93855,181750,66795,85345,29615,43935,25320,14220,4410,104345,132890,103745,209325,985,10,10,10,1,3116,24045,25493,1245,53899,1,3570,446945,198200,198200,25320,200385,106335,119370,529.144546114583,13.9197885879458,106335,119370,0.467557589554263,0.250846298109246,0.281596112336491,0.0028074373664868,0.0216639382147545,0.0229685496738922,6.27126163860687,12.197031900878,11.5743497669572,11.6899831920891,0.850257168943959,2.01386180082808,2.72471403569705,-1.28392212623052,0.594102503181761
Yukon,Yukon,60,19.9398,483867.30989,35874,17987,15215,9840,5295,2065,1740,705,4120,3835,1590,1615,655,1870,1200,490,185,7470,13460,2215,0,270,36,94,188,5.22222222222222,11,60,419,184,674,2.85287394770586,6001,15945,11590,11590,1200,4535,3280,2455,0.0741401604670409,10.487768078109,3280,2455,0.668975468975469,0.189321789321789,0.141702741702742,0.000306628756202264,0.00167252048837598,0.0116797680771589,-2.60179791688314,9.3578979363338,8.09559870137819,7.80588204022862,-0.669248352702885,-0.655973152404646,-0.659310748761023,0.426409995406001,-0.290844286990305
Zone 1 (Moncton area),New Brunswick,13,14.5902,10198.02405,209256,101201,89493,61935,36070,12920,9770,3135,29860,22470,10335,9120,2960,9600,6235,2540,815,37810,36345,30170,15725,1820,50,80,130,2.82608695652174,28,303,151,188,670,1.7545398937187,1301,84060,67670,67670,6235,25770,19110,12895,20.5192691225316,12.2513136617758,19110,12895,0.678906445949335,0.191723100075245,0.12937045397542,0.000133807393814275,0.00144798715449019,0.000721604159498414,3.02136440185789,11.1223982292263,9.85796703723432,9.46459491831544,-0.212606856245273,-0.245867021603869,-0.357132082638265,-0.587429081530341,-0.256646851174547
Zone 1 - Western,Nova Scotia,12,13.8148,19179.15559,194376,103868,86750,60035,37820,11470,7830,2935,32120,19040,9100,7215,2740,8880,5735,2375,795,33740,27640,27535,9865,640,41,70,122,4.20689655172414,54,41,197,6,298,4.0258571016998,1201,65680,65860,65860,5735,22225,17210,10750,10.1347527573814,12.1775497065969,17210,10750,0.70198251971861,0.183436367512258,0.114581112769132,0.000277812075564885,0.000210931390706672,0.00101349960900523,2.3159703846761,11.0952865559304,9.75324588920559,9.28266103355581,-0.227345107111683,-0.295090120057531,-0.419217641913486,1.50915540768746,-0.274016457036845
Zone 2 (Saint John area),New Brunswick,13,17.1687,10864.00871,170537,81438,71966,50395,28210,10680,8240,3270,22630,19030,8385,7600,3095,8735,5605,2335,860,28285,31845,12655,19000,875,52,86,144,3,27,194,77,27,325,1.8171188657007,1302,64375,50915,50915,5605,22275,16325,11555,15.697428504731,12.0467075609604,16325,11555,0.646170442286947,0.207183196903357,0.146646360809696,0.000158323413687352,0.00113758304649431,0.000451514920515783,2.75349690943172,10.8379128546058,9.70045295414463,9.35487352270848,-0.349037460260025,-0.318017721179369,-0.395917466987354,-0.529664317741457,-0.264712077143383
Zone 2 - Northern,Nova Scotia,12,7.1341,14570.97435,170333,86590,73632,51535,30320,10385,7800,3070,24900,17950,8000,7115,2850,8690,5415,2390,895,28335,21005,22170,16385,1430,26,42,76,2.92307692307692,57,71,173,7,308,2.75881361803056,1202,60990,53235,53235,5415,21250,15805,10860,11.689884005595,12.0455106235687,15805,10860,0.666270337922403,0.197809762202753,0.135919899874844,0.000334638619645048,0.000416830561312253,0.0010156575648876,2.45872385290224,10.8824713537487,9.66808162464972,9.29284159348793,-0.330146442574902,-0.331489306019318,-0.41603376707886,0.339585738734592,-0.271415275056309
Zone 3 (Fredericton area),New Brunswick,13,25.6272,23895.02125,174348,83036,73210,51655,28890,10820,8660,3330,24060,19915,8710,8080,3165,7670,4860,2130,730,28905,30510,24580,11170,975,75,146,261,3.625,49,188,208,31,476,2.91462477344162,1303,67235,52965,52965,4860,22815,15700,11975,7.29641535681832,12.0688085808593,15700,11975,0.656808035714286,0.19469246031746,0.148499503968254,0.000281047101199899,0.00107830316378737,0.00119301626631794,1.98738318054009,10.8773865970306,9.6614159913364,9.39057642227912,-0.332344966184809,-0.334209529881231,-0.383760853982416,0.483410322343633,-0.278763986937944
Zone 3 - Eastern,Nova Scotia,12,8.4735,16430.80442,158936,81672,69194,46895,27310,10160,6545,2855,20885,15510,7330,5660,2525,10535,6425,2820,1245,29325,37120,6190,4495,1440,22,51,92,4.18181818181818,53,27,542,8,630,2.97320934212513,1203,49245,50210,50210,6425,19580,16575,9430,9.67305044459899,11.9762568844479,16575,9430,0.658794200616677,0.217476874630978,0.123728924752345,0.00033346755926914,0.000169879700005033,0.00341017768158252,2.26934371417689,10.8239694890288,9.71565081505406,9.1516513756275,-0.354778049685892,-0.311540997698624,-0.457424139929008,0.537487972782665,-0.274788720945606
Zone 4 (Edmundston area),New Brunswick,13,12.8441,7849.63641,47775,22831,21084,14490,8800,2895,2195,610,7435,4955,2320,2065,550,2090,1375,540,135,8000,8645,6895,1780,325,32,56,98,3.26666666666667,7,386,361,2,756,3.18589220303506,1304,17645,15435,15435,1375,5610,4235,2750,6.08626916007693,10.7742577691085,4235,2750,0.688447814451383,0.188893844781445,0.122658340767172,0.000146520146520147,0.00807953950811094,0.00755625327053899,1.80603527660215,9.64439293693626,8.35113860708615,7.91935619066062,-0.637939747961809,-0.6312320687082,-0.650772175340887,0.733809114426537,-0.280788131513776
Zone 4 - Central,Nova Scotia,12,2.2679,9124.17963,444859,206298,190528,126455,69845,27545,21415,7660,56715,48960,21755,19965,7240,20780,13135,5795,1855,89930,170705,1990,13135,2055,9,12,16,1.77777777777778,902,388,3365,65,4720,1.19463695238267,1204,187885,146645,146645,13135,56610,40685,29060,48.7560545758348,13.005512657007,40685,29060,0.677688432922039,0.188017006331161,0.1342945607468,0.00202760874794036,0.000872186468071906,0.00756419449758238,3.8868293861595,11.8957699790409,10.6136147531308,10.2771179371243,0.430461299652372,0.313074214784429,0.110752796468478,-1.10425861909898,-0.209416742723074
Zone 5 (Campbellton area),New Brunswick,13,6.3397,5526.37401,25250,12618,11512,7640,4840,1565,995,250,3955,2355,1245,900,220,1355,900,335,120,4770,2790,4755,250,305,16,25,44,2.93333333333333,53,129,3,3,188,2.59081188118812,1305,8100,8725,8725,900,2820,2480,1240,4.56899948398534,10.1365814347035,2480,1240,0.701084773001205,0.199276817999196,0.0996384089995982,0.0020990099009901,0.00510891089108911,0.000118811881188119,1.51929424964292,9.07394774707063,7.81601383915903,7.12286665859908,-0.692577131008004,-0.67669866754303,-0.694478093525309,0.184508396658447,-0.283325984537819
Zone 6 (Bathurst area),New Brunswick,13,11.818,5326.80708,94558,46205,41476,28925,17535,6610,3855,920,13800,9730,5310,3570,845,5380,3715,1295,370,17005,13130,13955,2220,745,29,57,105,3.62068965517241,1,26,106,12,145,3.48146111381374,1306,30050,30805,30805,3715,11390,10320,4785,17.7513468349599,11.456968681824,10320,4785,0.670986713134393,0.224787627967763,0.104225658897844,1.05755197867975e-05,0.000274963514456736,0.00112100509740054,2.87646139106874,10.3354322934487,9.24183903903555,8.47324130388705,-0.512786755797874,-0.473588619186865,-0.591870490900292,1.00663987168761,-0.261276601612799
Zone 7 (Miramichi area),New Brunswick,13,7.4448,10453.09289,57605,27224,24582,17625,10345,3925,2540,805,8105,6095,3040,2325,715,3435,2230,885,310,9470,10230,6110,1310,480,21,29,53,2.65,2,6,31,15,54,2.87136533287041,1307,18130,17575,17575,2230,7275,6155,3350,5.51080915535612,10.9613646484722,6155,3350,0.649002954209749,0.227289512555391,0.12370753323486,3.47192084020484e-05,0.000104157625206145,0.000538147730231751,1.70671146453485,9.77423271667887,8.72502003861855,8.11671562481911,-0.620514412683291,-0.581490832376078,-0.633405585333832,0.443478835981823,-0.281750671618682
