date,HR,cases,province
2020-05-10,Edmonton Zone,4,Alberta
2020-05-10,South Zone,6,Alberta
2020-05-11,Calgary Zone,44,Alberta
2020-05-11,South Zone,3,Alberta
2020-05-12,Calgary Zone,64,Alberta
2020-05-12,Edmonton Zone,2,Alberta
2020-05-12,South Zone,4,Alberta
2020-05-13,Calgary Zone,47,Alberta
2020-05-13,Edmonton Zone,2,Alberta
2020-05-13,South Zone,13,Alberta
2020-05-14,Calgary Zone,44,Alberta
2020-05-14,Central Zone,3,Alberta
2020-05-14,North Zone,2,Alberta
2020-05-14,South Zone,12,Alberta
2020-05-15,Calgary Zone,58,Alberta
2020-05-15,Edmonton Zone,1,Alberta
2020-05-15,South Zone,14,Alberta
2020-05-16,Calgary Zone,45,Alberta
2020-05-16,Edmonton Zone,1,Alberta
2020-05-16,South Zone,8,Alberta
2020-05-17,Calgary Zone,41,Alberta
2020-05-17,North Zone,1,Alberta
2020-05-17,South Zone,4,Alberta
2020-05-18,Calgary Zone,34,Alberta
2020-05-18,South Zone,4,Alberta
2020-05-19,Calgary Zone,38,Alberta
2020-05-19,Edmonton Zone,1,Alberta
2020-05-19,North Zone,1,Alberta
2020-05-19,South Zone,3,Alberta
2020-05-20,Calgary Zone,21,Alberta
2020-05-20,Edmonton Zone,2,Alberta
2020-05-20,South Zone,4,Alberta
2020-05-21,Calgary Zone,24,Alberta
2020-05-21,North Zone,2,Alberta
2020-05-21,South Zone,4,Alberta
2020-05-22,Calgary Zone,21,Alberta
2020-05-22,North Zone,1,Alberta
2020-05-22,South Zone,5,Alberta
2020-05-23,Calgary Zone,29,Alberta
2020-05-23,North Zone,1,Alberta
2020-05-23,South Zone,2,Alberta
2020-05-24,Calgary Zone,22,Alberta
2020-05-24,Edmonton Zone,1,Alberta
2020-05-24,South Zone,6,Alberta
2020-05-25,Calgary Zone,13,Alberta
2020-05-26,Calgary Zone,15,Alberta
2020-05-26,Edmonton Zone,2,Alberta
2020-05-26,North Zone,1,Alberta
2020-05-26,South Zone,1,Alberta
2020-05-27,Calgary Zone,23,Alberta
2020-05-27,Edmonton Zone,3,Alberta
2020-05-27,North Zone,1,Alberta
2020-05-28,Calgary Zone,23,Alberta
2020-05-28,Edmonton Zone,1,Alberta
2020-05-28,North Zone,4,Alberta
2020-05-29,Calgary Zone,20,Alberta
2020-05-29,Edmonton Zone,10,Alberta
2020-05-30,Calgary Zone,12,Alberta
2020-05-30,Edmonton Zone,5,Alberta
2020-05-30,North Zone,3,Alberta
2020-05-31,Calgary Zone,21,Alberta
2020-05-31,Edmonton Zone,9,Alberta
2020-05-31,South Zone,4,Alberta
2020-06-01,Calgary Zone,18,Alberta
2020-06-01,Edmonton Zone,3,Alberta
2020-06-02,Calgary Zone,7,Alberta
2020-06-02,Edmonton Zone,5,Alberta
2020-06-02,North Zone,5,Alberta
