date,wave,HR,province,cases
2020-02-10,1,Kootenay Boundary,British Columbia,0
2020-02-10,1,Okanagan,British Columbia,0
2020-02-10,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-10,1,Northeast,British Columbia,0
2020-02-10,1,Northern Interior,British Columbia,0
2020-02-10,1,Northwest,British Columbia,0
2020-02-10,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-10,1,Richmond,British Columbia,0
2020-02-10,1,Vancouver,British Columbia,0
2020-02-10,1,Central Vancouver Island,British Columbia,0
2020-02-10,1,North Vancouver Island,British Columbia,0
2020-02-10,1,South Vancouver Island,British Columbia,0
2020-02-11,1,Fraser East,British Columbia,0
2020-02-11,1,Fraser North,British Columbia,0
2020-02-11,1,Fraser South,British Columbia,0
2020-02-11,1,East Kootenay,British Columbia,0
2020-02-11,1,Kootenay Boundary,British Columbia,0
2020-02-11,1,Okanagan,British Columbia,0
2020-02-11,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-11,1,Northeast,British Columbia,0
2020-02-11,1,Northern Interior,British Columbia,0
2020-02-11,1,Northwest,British Columbia,0
2020-02-11,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-11,1,Richmond,British Columbia,0
2020-02-11,1,Vancouver,British Columbia,0
2020-02-11,1,Central Vancouver Island,British Columbia,0
2020-02-11,1,North Vancouver Island,British Columbia,0
2020-02-11,1,South Vancouver Island,British Columbia,0
2020-02-12,1,Fraser East,British Columbia,0
2020-02-12,1,Fraser North,British Columbia,0
2020-02-12,1,Fraser South,British Columbia,0
2020-02-12,1,East Kootenay,British Columbia,0
2020-02-12,1,Kootenay Boundary,British Columbia,0
2020-02-12,1,Okanagan,British Columbia,0
2020-02-12,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-12,1,Northeast,British Columbia,0
2020-02-12,1,Northern Interior,British Columbia,0
2020-02-12,1,Northwest,British Columbia,0
2020-02-12,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-12,1,Richmond,British Columbia,0
2020-02-12,1,Vancouver,British Columbia,0
2020-02-12,1,Central Vancouver Island,British Columbia,0
2020-02-12,1,North Vancouver Island,British Columbia,0
2020-02-12,1,South Vancouver Island,British Columbia,0
2020-02-13,1,Fraser East,British Columbia,0
2020-02-13,1,Fraser North,British Columbia,0
2020-02-13,1,Fraser South,British Columbia,0
2020-02-13,1,East Kootenay,British Columbia,0
2020-02-13,1,Kootenay Boundary,British Columbia,0
2020-02-13,1,Okanagan,British Columbia,0
2020-02-13,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-13,1,Northeast,British Columbia,0
2020-02-13,1,Northern Interior,British Columbia,0
2020-02-13,1,Northwest,British Columbia,0
2020-02-13,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-13,1,Richmond,British Columbia,0
2020-02-13,1,Vancouver,British Columbia,0
2020-02-13,1,Central Vancouver Island,British Columbia,0
2020-02-13,1,North Vancouver Island,British Columbia,0
2020-02-13,1,South Vancouver Island,British Columbia,0
2020-02-14,1,Fraser East,British Columbia,0
2020-02-14,1,Fraser North,British Columbia,0
2020-02-14,1,Fraser South,British Columbia,0
2020-02-14,1,East Kootenay,British Columbia,0
2020-02-14,1,Kootenay Boundary,British Columbia,0
2020-02-14,1,Okanagan,British Columbia,0
2020-02-14,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-14,1,Northeast,British Columbia,0
2020-02-14,1,Northern Interior,British Columbia,0
2020-02-14,1,Northwest,British Columbia,0
2020-02-14,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-14,1,Richmond,British Columbia,0
2020-02-14,1,Vancouver,British Columbia,0
2020-02-14,1,Central Vancouver Island,British Columbia,0
2020-02-14,1,North Vancouver Island,British Columbia,0
2020-02-14,1,South Vancouver Island,British Columbia,0
2020-02-15,1,Fraser East,British Columbia,0
2020-02-15,1,Fraser North,British Columbia,0
2020-02-15,1,Fraser South,British Columbia,0
2020-02-15,1,East Kootenay,British Columbia,0
2020-02-15,1,Kootenay Boundary,British Columbia,0
2020-02-15,1,Okanagan,British Columbia,0
2020-02-15,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-15,1,Northeast,British Columbia,0
2020-02-15,1,Northern Interior,British Columbia,0
2020-02-15,1,Northwest,British Columbia,0
2020-02-15,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-15,1,Richmond,British Columbia,0
2020-02-15,1,Vancouver,British Columbia,0
2020-02-15,1,Central Vancouver Island,British Columbia,0
2020-02-15,1,North Vancouver Island,British Columbia,0
2020-02-15,1,South Vancouver Island,British Columbia,0
2020-02-16,1,Fraser East,British Columbia,0
2020-02-16,1,Fraser North,British Columbia,0
2020-02-16,1,Fraser South,British Columbia,0
2020-02-16,1,East Kootenay,British Columbia,0
2020-02-16,1,Kootenay Boundary,British Columbia,0
2020-02-16,1,Okanagan,British Columbia,0
2020-02-16,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-16,1,Northeast,British Columbia,0
2020-02-16,1,Northern Interior,British Columbia,0
2020-02-16,1,Northwest,British Columbia,0
2020-02-16,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-16,1,Richmond,British Columbia,0
2020-02-16,1,Vancouver,British Columbia,0
2020-02-16,1,Central Vancouver Island,British Columbia,0
2020-02-16,1,North Vancouver Island,British Columbia,0
2020-02-16,1,South Vancouver Island,British Columbia,0
2020-02-17,1,Fraser East,British Columbia,0
2020-02-17,1,Fraser North,British Columbia,0
2020-02-17,1,Fraser South,British Columbia,0
2020-02-17,1,East Kootenay,British Columbia,0
2020-02-17,1,Kootenay Boundary,British Columbia,0
2020-02-17,1,Okanagan,British Columbia,0
2020-02-17,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-17,1,Northeast,British Columbia,0
2020-02-17,1,Northern Interior,British Columbia,0
2020-02-17,1,Northwest,British Columbia,0
2020-02-17,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-17,1,Richmond,British Columbia,0
2020-02-17,1,Vancouver,British Columbia,0
2020-02-17,1,Central Vancouver Island,British Columbia,0
2020-02-17,1,North Vancouver Island,British Columbia,0
2020-02-17,1,South Vancouver Island,British Columbia,0
2020-02-18,1,Fraser East,British Columbia,0
2020-02-18,1,Fraser North,British Columbia,0
2020-02-18,1,Fraser South,British Columbia,0
2020-02-18,1,East Kootenay,British Columbia,0
2020-02-18,1,Kootenay Boundary,British Columbia,0
2020-02-18,1,Okanagan,British Columbia,1
2020-02-18,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-18,1,Northeast,British Columbia,0
2020-02-18,1,Northern Interior,British Columbia,0
2020-02-18,1,Northwest,British Columbia,0
2020-02-18,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-18,1,Richmond,British Columbia,0
2020-02-18,1,Vancouver,British Columbia,0
2020-02-18,1,Central Vancouver Island,British Columbia,0
2020-02-18,1,North Vancouver Island,British Columbia,0
2020-02-18,1,South Vancouver Island,British Columbia,0
2020-02-19,1,Fraser East,British Columbia,0
2020-02-19,1,Fraser North,British Columbia,0
2020-02-19,1,Fraser South,British Columbia,0
2020-02-19,1,East Kootenay,British Columbia,0
2020-02-19,1,Kootenay Boundary,British Columbia,0
2020-02-19,1,Okanagan,British Columbia,0
2020-02-19,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-19,1,Northeast,British Columbia,0
2020-02-19,1,Northern Interior,British Columbia,0
2020-02-19,1,Northwest,British Columbia,0
2020-02-19,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-19,1,Richmond,British Columbia,0
2020-02-19,1,Vancouver,British Columbia,0
2020-02-19,1,Central Vancouver Island,British Columbia,0
2020-02-19,1,North Vancouver Island,British Columbia,0
2020-02-19,1,South Vancouver Island,British Columbia,0
2020-02-20,1,Fraser East,British Columbia,0
2020-02-20,1,Fraser North,British Columbia,0
2020-02-20,1,Fraser South,British Columbia,0
2020-02-20,1,East Kootenay,British Columbia,0
2020-02-20,1,Kootenay Boundary,British Columbia,0
2020-02-20,1,Okanagan,British Columbia,0
2020-02-20,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-20,1,Northeast,British Columbia,0
2020-02-20,1,Northern Interior,British Columbia,0
2020-02-20,1,Northwest,British Columbia,0
2020-02-20,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-20,1,Richmond,British Columbia,0
2020-02-20,1,Vancouver,British Columbia,0
2020-02-20,1,Central Vancouver Island,British Columbia,0
2020-02-20,1,North Vancouver Island,British Columbia,0
2020-02-20,1,South Vancouver Island,British Columbia,0
2020-02-21,1,Fraser East,British Columbia,0
2020-02-21,1,Fraser North,British Columbia,0
2020-02-21,1,Fraser South,British Columbia,0
2020-02-21,1,East Kootenay,British Columbia,0
2020-02-21,1,Kootenay Boundary,British Columbia,0
2020-02-21,1,Okanagan,British Columbia,0
2020-02-21,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-21,1,Northeast,British Columbia,0
2020-02-21,1,Northern Interior,British Columbia,0
2020-02-21,1,Northwest,British Columbia,0
2020-02-21,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-21,1,Richmond,British Columbia,0
2020-02-21,1,Vancouver,British Columbia,0
2020-02-21,1,Central Vancouver Island,British Columbia,0
2020-02-21,1,North Vancouver Island,British Columbia,0
2020-02-21,1,South Vancouver Island,British Columbia,0
2020-02-22,1,Fraser East,British Columbia,0
2020-02-22,1,Fraser North,British Columbia,0
2020-02-22,1,Fraser South,British Columbia,0
2020-02-22,1,East Kootenay,British Columbia,0
2020-02-22,1,Kootenay Boundary,British Columbia,0
2020-02-22,1,Okanagan,British Columbia,0
2020-02-22,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-22,1,Northeast,British Columbia,0
2020-02-22,1,Northern Interior,British Columbia,0
2020-02-22,1,Northwest,British Columbia,0
2020-02-22,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-22,1,Richmond,British Columbia,0
2020-02-22,1,Vancouver,British Columbia,0
2020-02-22,1,Central Vancouver Island,British Columbia,0
2020-02-22,1,North Vancouver Island,British Columbia,0
2020-02-22,1,South Vancouver Island,British Columbia,0
2020-02-23,1,Fraser East,British Columbia,0
2020-02-23,1,Fraser North,British Columbia,0
2020-02-23,1,Fraser South,British Columbia,0
2020-02-23,1,East Kootenay,British Columbia,0
2020-02-23,1,Kootenay Boundary,British Columbia,0
2020-02-23,1,Okanagan,British Columbia,0
2020-02-23,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-23,1,Northeast,British Columbia,0
2020-02-23,1,Northern Interior,British Columbia,0
2020-02-23,1,Northwest,British Columbia,0
2020-02-23,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-23,1,Richmond,British Columbia,0
2020-02-23,1,Vancouver,British Columbia,0
2020-02-23,1,Central Vancouver Island,British Columbia,0
2020-02-23,1,North Vancouver Island,British Columbia,0
2020-02-23,1,South Vancouver Island,British Columbia,0
2020-02-24,1,Fraser East,British Columbia,0
2020-02-24,1,Fraser North,British Columbia,2
2020-02-24,1,Fraser South,British Columbia,0
2020-02-24,1,East Kootenay,British Columbia,0
2020-02-24,1,Kootenay Boundary,British Columbia,0
2020-02-24,1,Okanagan,British Columbia,0
2020-02-24,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-24,1,Northeast,British Columbia,0
2020-02-24,1,Northern Interior,British Columbia,0
2020-02-24,1,Northwest,British Columbia,0
2020-02-24,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-24,1,Richmond,British Columbia,0
2020-02-24,1,Vancouver,British Columbia,0
2020-02-24,1,Central Vancouver Island,British Columbia,0
2020-02-24,1,North Vancouver Island,British Columbia,0
2020-02-24,1,South Vancouver Island,British Columbia,0
2020-02-25,1,Fraser East,British Columbia,0
2020-02-25,1,Fraser North,British Columbia,0
2020-02-25,1,Fraser South,British Columbia,0
2020-02-25,1,East Kootenay,British Columbia,0
2020-02-25,1,Kootenay Boundary,British Columbia,0
2020-02-25,1,Okanagan,British Columbia,0
2020-02-25,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-25,1,Northeast,British Columbia,0
2020-02-25,1,Northern Interior,British Columbia,0
2020-02-25,1,Northwest,British Columbia,0
2020-02-25,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-25,1,Richmond,British Columbia,0
2020-02-25,1,Vancouver,British Columbia,0
2020-02-25,1,Central Vancouver Island,British Columbia,0
2020-02-25,1,North Vancouver Island,British Columbia,0
2020-02-25,1,South Vancouver Island,British Columbia,0
2020-02-26,1,Fraser East,British Columbia,0
2020-02-26,1,Fraser North,British Columbia,0
2020-02-26,1,Fraser South,British Columbia,0
2020-02-26,1,East Kootenay,British Columbia,0
2020-02-26,1,Kootenay Boundary,British Columbia,0
2020-02-26,1,Okanagan,British Columbia,0
2020-02-26,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-26,1,Northeast,British Columbia,0
2020-02-26,1,Northern Interior,British Columbia,0
2020-02-26,1,Northwest,British Columbia,0
2020-02-26,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-26,1,Richmond,British Columbia,0
2020-02-26,1,Vancouver,British Columbia,0
2020-02-26,1,Central Vancouver Island,British Columbia,0
2020-02-26,1,North Vancouver Island,British Columbia,0
2020-02-26,1,South Vancouver Island,British Columbia,0
2020-02-27,1,Fraser East,British Columbia,0
2020-02-27,1,Fraser North,British Columbia,0
2020-02-27,1,Fraser South,British Columbia,0
2020-02-27,1,East Kootenay,British Columbia,0
2020-02-27,1,Kootenay Boundary,British Columbia,0
2020-02-27,1,Okanagan,British Columbia,0
2020-02-27,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-27,1,Northeast,British Columbia,0
2020-02-27,1,Northern Interior,British Columbia,0
2020-02-27,1,Northwest,British Columbia,0
2020-02-27,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-27,1,Richmond,British Columbia,0
2020-02-27,1,Vancouver,British Columbia,0
2020-02-27,1,Central Vancouver Island,British Columbia,0
2020-02-27,1,North Vancouver Island,British Columbia,0
2020-02-27,1,South Vancouver Island,British Columbia,0
2020-02-28,1,Fraser East,British Columbia,0
2020-02-28,1,Fraser North,British Columbia,0
2020-02-28,1,Fraser South,British Columbia,0
2020-02-28,1,East Kootenay,British Columbia,0
2020-02-28,1,Kootenay Boundary,British Columbia,0
2020-02-28,1,Okanagan,British Columbia,0
2020-02-28,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-28,1,Northeast,British Columbia,0
2020-02-28,1,Northern Interior,British Columbia,0
2020-02-28,1,Northwest,British Columbia,0
2020-02-28,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-28,1,Richmond,British Columbia,0
2020-02-28,1,Vancouver,British Columbia,0
2020-02-28,1,Central Vancouver Island,British Columbia,0
2020-02-28,1,North Vancouver Island,British Columbia,0
2020-02-28,1,South Vancouver Island,British Columbia,0
2020-02-29,1,Fraser East,British Columbia,0
2020-02-29,1,Fraser North,British Columbia,0
2020-02-29,1,Fraser South,British Columbia,0
2020-02-29,1,East Kootenay,British Columbia,0
2020-02-29,1,Kootenay Boundary,British Columbia,0
2020-02-29,1,Okanagan,British Columbia,0
2020-02-29,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-29,1,Northeast,British Columbia,0
2020-02-29,1,Northern Interior,British Columbia,0
2020-02-29,1,Northwest,British Columbia,0
2020-02-29,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-29,1,Richmond,British Columbia,0
