date,HR,cases,province
2020-08-15,South East,0,Saskatchewan
2020-08-15,South East,0,Saskatchewan
2020-08-15,South East,0,Saskatchewan
2020-08-16,Far North West,0,Saskatchewan
2020-08-16,Far North West,0,Saskatchewan
2020-08-16,Far North Central,0,Saskatchewan
2020-08-16,Far North East,0,Saskatchewan
2020-08-16,Far North East,0,Saskatchewan
2020-08-16,North West,1,Saskatchewan
2020-08-16,North West,0,Saskatchewan
2020-08-16,North West,0,Saskatchewan
2020-08-16,North West,0,Saskatchewan
2020-08-16,North Central,0,Saskatchewan
2020-08-16,North Central,0,Saskatchewan
2020-08-16,North Central,0,Saskatchewan
2020-08-16,North East,0,Saskatchewan
2020-08-16,North East,0,Saskatchewan
2020-08-16,North East,0,Saskatchewan
2020-08-16,Saskatoon,0,Saskatchewan
2020-08-16,Central West,0,Saskatchewan
2020-08-16,Central West,1,Saskatchewan
2020-08-16,Central East,3,Saskatchewan
2020-08-16,Central East,0,Saskatchewan
2020-08-16,Central East,0,Saskatchewan
2020-08-16,Central East,0,Saskatchewan
2020-08-16,Central East,0,Saskatchewan
2020-08-16,Regina,0,Saskatchewan
2020-08-16,South West,4,Saskatchewan
2020-08-16,South West,1,Saskatchewan
2020-08-16,South Central,2,Saskatchewan
2020-08-16,South Central,3,Saskatchewan
2020-08-16,South East,0,Saskatchewan
2020-08-16,South East,0,Saskatchewan
2020-08-16,South East,0,Saskatchewan
2020-08-16,South East,0,Saskatchewan
2020-08-17,Far North West,0,Saskatchewan
2020-08-17,Far North West,0,Saskatchewan
2020-08-17,Far North Central,0,Saskatchewan
2020-08-17,Far North East,0,Saskatchewan
2020-08-17,Far North East,0,Saskatchewan
2020-08-17,North West,0,Saskatchewan
2020-08-17,North West,0,Saskatchewan
2020-08-17,North West,0,Saskatchewan
2020-08-17,North West,0,Saskatchewan
2020-08-17,North Central,0,Saskatchewan
2020-08-17,North Central,0,Saskatchewan
2020-08-17,North Central,0,Saskatchewan
2020-08-17,North East,0,Saskatchewan
2020-08-17,North East,0,Saskatchewan
2020-08-17,North East,0,Saskatchewan
2020-08-17,Saskatoon,0,Saskatchewan
2020-08-17,Central West,0,Saskatchewan
2020-08-17,Central West,0,Saskatchewan
2020-08-17,Central East,0,Saskatchewan
2020-08-17,Central East,0,Saskatchewan
2020-08-17,Central East,0,Saskatchewan
2020-08-17,Central East,0,Saskatchewan
2020-08-17,Central East,0,Saskatchewan
2020-08-17,Regina,0,Saskatchewan
2020-08-17,South West,0,Saskatchewan
2020-08-17,South West,1,Saskatchewan
2020-08-17,South Central,0,Saskatchewan
2020-08-17,South Central,0,Saskatchewan
2020-08-17,South East,0,Saskatchewan
2020-08-17,South East,0,Saskatchewan
2020-08-17,South East,0,Saskatchewan
2020-08-17,South East,0,Saskatchewan
2020-08-18,Far North West,0,Saskatchewan
2020-08-18,Far North West,0,Saskatchewan
2020-08-18,Far North Central,0,Saskatchewan
2020-08-18,Far North East,0,Saskatchewan
2020-08-18,Far North East,0,Saskatchewan
2020-08-18,North West,0,Saskatchewan
2020-08-18,North West,0,Saskatchewan
2020-08-18,North West,0,Saskatchewan
2020-08-18,North West,0,Saskatchewan
2020-08-18,North Central,0,Saskatchewan
2020-08-18,North Central,0,Saskatchewan
2020-08-18,North Central,0,Saskatchewan
2020-08-18,North East,0,Saskatchewan
2020-08-18,North East,0,Saskatchewan
2020-08-18,North East,0,Saskatchewan
2020-08-18,Saskatoon,1,Saskatchewan
2020-08-18,Central West,0,Saskatchewan
2020-08-18,Central West,0,Saskatchewan
2020-08-18,Central East,0,Saskatchewan
2020-08-18,Central East,0,Saskatchewan
2020-08-18,Central East,0,Saskatchewan
2020-08-18,Central East,0,Saskatchewan
2020-08-18,Central East,0,Saskatchewan
2020-08-18,Regina,0,Saskatchewan
2020-08-18,South West,0,Saskatchewan
2020-08-18,South West,0,Saskatchewan
2020-08-18,South Central,0,Saskatchewan
2020-08-18,South Central,0,Saskatchewan
