cases,cumulative_cases,date_report,health_region,province
30,9267,2020-10-07,Calgary,Alberta
52,9319,2020-10-08,Calgary,Alberta
82,9401,2020-10-09,Calgary,Alberta
0,9401,2020-10-10,Calgary,Alberta
0,9401,2020-10-11,Calgary,Alberta
0,9401,2020-10-12,Calgary,Alberta
303,9704,2020-10-13,Calgary,Alberta
74,9778,2020-10-14,Calgary,Alberta
79,9857,2020-10-15,Calgary,Alberta
94,9951,2020-10-16,Calgary,Alberta
0,9951,2020-10-17,Calgary,Alberta
0,9951,2020-10-18,Calgary,Alberta
332,10283,2020-10-19,Calgary,Alberta
124,10407,2020-10-20,Calgary,Alberta
188,10595,2020-10-21,Calgary,Alberta
157,10752,2020-10-22,Calgary,Alberta
148,10900,2020-10-23,Calgary,Alberta
0,10900,2020-10-24,Calgary,Alberta
0,10900,2020-10-25,Calgary,Alberta
486,11386,2020-10-26,Calgary,Alberta
211,11597,2020-10-27,Calgary,Alberta
213,11810,2020-10-28,Calgary,Alberta
212,12022,2020-10-29,Calgary,Alberta
278,12300,2020-10-30,Calgary,Alberta
0,12300,2020-10-31,Calgary,Alberta
0,12300,2020-11-01,Calgary,Alberta
0,12300,2020-11-02,Calgary,Alberta
949,13249,2020-11-03,Calgary,Alberta
211,13460,2020-11-04,Calgary,Alberta
0,13460,2020-11-05,Calgary,Alberta
604,14064,2020-11-06,Calgary,Alberta
0,14064,2020-11-07,Calgary,Alberta
0,14064,2020-11-08,Calgary,Alberta
915,14979,2020-11-09,Calgary,Alberta
309,15288,2020-11-10,Calgary,Alberta
0,15288,2020-11-11,Calgary,Alberta
614,15902,2020-11-12,Calgary,Alberta
339,16241,2020-11-13,Calgary,Alberta
0,16241,2020-11-14,Calgary,Alberta
0,16241,2020-11-15,Calgary,Alberta
1242,17483,2020-11-16,Calgary,Alberta
354,17837,2020-11-17,Calgary,Alberta
298,18135,2020-11-18,Calgary,Alberta
350,18485,2020-11-19,Calgary,Alberta
412,18897,2020-11-20,Calgary,Alberta
438,19335,2020-11-21,Calgary,Alberta
486,19821,2020-11-22,Calgary,Alberta
464,20285,2020-11-23,Calgary,Alberta
426,20711,2020-11-24,Calgary,Alberta
460,21171,2020-11-25,Calgary,Alberta
418,21589,2020-11-26,Calgary,Alberta
421,22010,2020-11-27,Calgary,Alberta
655,22665,2020-11-28,Calgary,Alberta
646,23311,2020-11-29,Calgary,Alberta
739,24050,2020-11-30,Calgary,Alberta
431,24481,2020-12-01,Calgary,Alberta
623,25104,2020-12-02,Calgary,Alberta
608,25712,2020-12-03,Calgary,Alberta
680,26392,2020-12-04,Calgary,Alberta
749,27141,2020-12-05,Calgary,Alberta
759,27900,2020-12-06,Calgary,Alberta
584,28484,2020-12-07,Calgary,Alberta
583,29067,2020-12-08,Calgary,Alberta
548,29615,2020-12-09,Calgary,Alberta
371,29986,2020-12-10,Calgary,Alberta
497,30483,2020-12-11,Calgary,Alberta
563,31046,2020-12-12,Calgary,Alberta
619,31665,2020-12-13,Calgary,Alberta
633,32298,2020-12-14,Calgary,Alberta
502,32800,2020-12-15,Calgary,Alberta
452,33252,2020-12-16,Calgary,Alberta
