province,date,HR,cases
New Brunswick,2020-12-19,Not Reported,0
New Brunswick,2020-12-20,Not Reported,0
New Brunswick,2020-12-21,Not Reported,0
New Brunswick,2020-12-22,Not Reported,0
New Brunswick,2020-12-23,Not Reported,0
New Brunswick,2020-12-24,Not Reported,0
New Brunswick,2020-12-25,Not Reported,0
New Brunswick,2020-12-26,Not Reported,0
New Brunswick,2020-12-27,Not Reported,0
New Brunswick,2020-12-28,Not Reported,0
New Brunswick,2020-12-29,Not Reported,0
New Brunswick,2020-12-30,Not Reported,0
New Brunswick,2020-12-31,Not Reported,0
New Brunswick,2021-01-01,Not Reported,0
New Brunswick,2021-01-02,Not Reported,0
New Brunswick,2021-01-03,Not Reported,0
New Brunswick,2021-01-04,Not Reported,0
New Brunswick,2021-01-05,Not Reported,0
New Brunswick,2021-01-06,Not Reported,0
New Brunswick,2021-01-07,Not Reported,0
New Brunswick,2021-01-08,Not Reported,0
New Brunswick,2021-01-09,Not Reported,0
New Brunswick,2021-01-10,Not Reported,0
New Brunswick,2021-01-11,Not Reported,0
New Brunswick,2021-01-12,Not Reported,0
New Brunswick,2021-01-13,Not Reported,0
New Brunswick,2021-01-14,Not Reported,0
New Brunswick,2021-01-15,Not Reported,0
New Brunswick,2021-01-16,Not Reported,0
New Brunswick,2021-01-17,Not Reported,0
New Brunswick,2021-01-18,Not Reported,0
New Brunswick,2021-01-19,Not Reported,0
New Brunswick,2021-01-20,Not Reported,0
New Brunswick,2021-01-21,Not Reported,0
New Brunswick,2021-01-22,Not Reported,0
New Brunswick,2021-01-23,Not Reported,0
New Brunswick,2021-01-24,Not Reported,0
New Brunswick,2021-01-25,Not Reported,0
New Brunswick,2021-01-26,Not Reported,0
New Brunswick,2021-01-27,Not Reported,0
New Brunswick,2021-01-28,Not Reported,0
New Brunswick,2021-01-29,Not Reported,0
New Brunswick,2021-01-30,Not Reported,0
New Brunswick,2021-01-31,Not Reported,0
New Brunswick,2021-02-01,Not Reported,0
New Brunswick,2021-02-02,Not Reported,0
New Brunswick,2021-02-03,Not Reported,0
New Brunswick,2021-02-04,Not Reported,0
New Brunswick,2021-02-05,Not Reported,0
New Brunswick,2021-02-06,Not Reported,0
New Brunswick,2021-02-07,Not Reported,0
New Brunswick,2021-02-08,Not Reported,0
New Brunswick,2021-02-09,Not Reported,0
New Brunswick,2021-02-10,Not Reported,0
New Brunswick,2021-02-11,Not Reported,0
New Brunswick,2021-02-12,Not Reported,0
New Brunswick,2021-02-13,Not Reported,0
New Brunswick,2021-02-14,Not Reported,0
New Brunswick,2021-02-15,Not Reported,0
New Brunswick,2021-02-16,Not Reported,0
New Brunswick,2021-02-17,Not Reported,0
New Brunswick,2021-02-18,Not Reported,0
New Brunswick,2021-02-19,Not Reported,0
New Brunswick,2021-02-20,Not Reported,0
New Brunswick,2021-02-21,Not Reported,0
New Brunswick,2021-02-22,Not Reported,0
New Brunswick,2021-02-23,Not Reported,0
New Brunswick,2021-02-24,Not Reported,0
New Brunswick,2021-02-25,Not Reported,0
New Brunswick,2021-02-26,Not Reported,0
New Brunswick,2021-02-27,Not Reported,0
New Brunswick,2021-02-28,Not Reported,0
New Brunswick,2021-03-01,Not Reported,0
New Brunswick,2021-03-02,Not Reported,0
New Brunswick,2021-03-03,Not Reported,0
New Brunswick,2021-03-04,Not Reported,0
New Brunswick,2021-03-05,Not Reported,0
New Brunswick,2021-03-06,Not Reported,0
New Brunswick,2021-03-07,Not Reported,0
New Brunswick,2021-03-08,Not Reported,0
New Brunswick,2021-03-09,Not Reported,0
New Brunswick,2021-03-10,Not Reported,0
New Brunswick,2021-03-11,Not Reported,0
New Brunswick,2021-03-12,Not Reported,0
New Brunswick,2021-03-13,Not Reported,0
New Brunswick,2021-03-14,Not Reported,0
New Brunswick,2021-03-15,Not Reported,0
New Brunswick,2021-03-16,Not Reported,0
New Brunswick,2021-03-17,Not Reported,0
New Brunswick,2021-03-18,Not Reported,0
New Brunswick,2021-03-19,Not Reported,0
New Brunswick,2021-03-20,Not Reported,0
New Brunswick,2021-03-21,Not Reported,0
New Brunswick,2021-03-22,Not Reported,0
New Brunswick,2021-03-23,Not Reported,0
New Brunswick,2021-03-24,Not Reported,0
New Brunswick,2021-03-25,Not Reported,0
New Brunswick,2021-03-26,Not Reported,0
New Brunswick,2021-03-27,Not Reported,0
New Brunswick,2021-03-28,Not Reported,0
New Brunswick,2021-03-29,Not Reported,0
New Brunswick,2021-03-30,Not Reported,0
New Brunswick,2021-03-31,Not Reported,0
New Brunswick,2021-04-01,Not Reported,0
New Brunswick,2021-04-02,Not Reported,0
New Brunswick,2021-04-03,Not Reported,0
New Brunswick,2021-04-04,Not Reported,0
New Brunswick,2021-04-05,Not Reported,0
New Brunswick,2021-04-06,Not Reported,0
New Brunswick,2021-04-07,Not Reported,0
New Brunswick,2021-04-08,Not Reported,0
New Brunswick,2021-04-09,Not Reported,0
New Brunswick,2021-04-10,Not Reported,0
New Brunswick,2021-04-11,Not Reported,0
New Brunswick,2021-04-12,Not Reported,0
New Brunswick,2021-04-13,Not Reported,0
New Brunswick,2021-04-14,Not Reported,0
New Brunswick,2021-04-15,Not Reported,0
New Brunswick,2021-04-16,Not Reported,0
New Brunswick,2021-04-17,Not Reported,0
New Brunswick,2021-04-18,Not Reported,0
