"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CD_UID","PR_UID","CMA_UID","rguid","v_CA16_492: Couples without children","v_CA16_493: Couples with children","v_CA16_494: 1 child","v_CA16_495: 2 children","v_CA16_496: 3 or more children","v_CA16_497: Total - Lone-parent census families in private households - 100% data","v_CA16_498: 1 child","v_CA16_499: 2 children","v_CA16_500: 3 or more children","v_CA16_501: Total - Persons not in census families in private households - 100% data"
"55","2457020","CSD","Saint-Basile-le-Grand (V)",36.84122,17059,6447,6391,"2457","24","24462","",1765,2525,880,1220,430,735,415,265,60,1700
"56","2457025","CSD","McMasterville (Mï¿½)",3.37403,5698,2332,2285,"2457","24","24462","",665,655,235,325,100,315,185,105,25,810
"57","2457030","CSD","Otterburn Park (V)",5.71272,8421,3301,3255,"2457","24","24462","",980,1200,400,600,200,365,220,115,30,910
"58","2457035","CSD","Mont-Saint-Hilaire (V)",45.64787,18585,7702,7499,"2457","24","24462","",2485,2275,825,1020,430,725,420,230,70,2440
"59","2457040","CSD","Beloeil (V)",25.49377,22458,9273,9098,"2457","24","24462","",2855,2825,1095,1240,490,955,565,315,70,3075
"60","2457045","CSD","Saint-Mathieu-de-Beloeil (Mï¿½)",39.4204,2619,997,972,"2457","24","24462","",365,385,150,175,60,70,45,15,10,240
"61","2458007","CSD","Brossard (V)",45.40087,85721,34249,33257,"2458","24","24462","",9430,11395,4485,4870,2040,3755,2305,1085,365,11990
"62","2458012","CSD","Saint-Lambert (V)",7.59281,21861,10446,9814,"2458","24","24462","",2425,2370,795,1135,440,925,575,290,60,4405
"63","2458033","CSD","Boucherville (V)",70.56373,41671,17134,16888,"2458","24","24462","",5615,5230,1900,2485,840,1740,1030,595,120,5095
"64","2458037","CSD","Saint-Bruno-de-Montarville (V)",43.90037,26394,10418,10243,"2458","24","24462","",3300,3565,1225,1675,670,1095,640,355,100,2755
"65","2458227","CSD","Longueuil (V)",115.75131,239700,110761,105533,"2458","24","24462","",26540,26030,10915,10585,4530,13250,8450,3685,1115,49985
"66","2459010","CSD","Sainte-Julie (V)",48.84137,29881,11196,11076,"2459","24","24462","",3200,4255,1405,2115,735,1310,695,500,110,2905
"67","2459015","CSD","Saint-Amable (Mï¿½)",36.88987,12167,4672,4556,"2459","24","24462","",1310,1755,665,800,285,550,320,170,60,1415
"68","2459020","CSD","Varennes (V)",94.58601,21257,8315,8161,"2459","24","24462","",2395,2940,1045,1410,480,980,555,355,70,2300
"69","2459025","CSD","Verchères (Mï¿½)",72.5656,5835,2440,2391,"2459","24","24462","",775,755,275,340,135,225,145,70,20,745
"70","2460005","CSD","Charlemagne (V)",2.31584,5913,2962,2878,"2460","24","24462","",895,535,265,205,70,315,220,70,25,1385
"71","2460013","CSD","Repentigny (V)",62.26772,84285,33876,33321,"2460","24","24462","",10275,10670,4175,4615,1875,4110,2385,1285,440,11120
"72","2460020","CSD","Saint-Sulpice (PE)",36.39451,3439,1494,1435,"2460","24","24462","",455,430,205,180,45,170,110,50,5,495
"73","2460028","CSD","L'Assomption (V)",100.82241,22429,8932,8736,"2460","24","24462","",2475,2955,1165,1285,500,1110,635,360,115,2935
"74","2460035","CSD","L'Épiphanie (V)",2.38176,5493,2240,2166,"2460","24","24462","",585,660,280,250,125,310,160,105,45,795
"75","2460040","CSD","L'Épiphanie (PE)",55.09067,3200,1324,1232,"2460","24","24462","",385,430,200,160,65,160,90,55,15,420
"76","2463048","CSD","Saint-Lin--Laurentides (V)",119.0693,20786,8376,8083,"2463","24","24462","",2255,2675,1170,1020,485,1090,655,305,130,3080
"77","2464008","CSD","Terrebonne (V)",154.39102,111575,42622,41801,"2464","24","24462","",11460,15640,5695,7070,2875,5500,3145,1780,570,13250
"78","2464015","CSD","Mascouche (V)",107.63997,46692,18322,17900,"2464","24","24462","",5150,6205,2320,2795,1095,2280,1315,775,190,5810
"79","2465005","CSD","Laval (V)",247.08643,422993,165686,160328,"2465","24","24462","",40140,56775,19935,25705,11135,20145,12165,6045,1935,58360
"80","2466007","CSD","Montréal-Est (V)",12.2748,3850,1856,1734,"2466","24","24462","",355,340,145,140,55,305,205,70,30,970
"81","2466023","CSD","Montréal (V)",366.11227,1704694,843872,779802,"2466","24","24462","",155320,174460,70975,70935,32550,89975,57705,23720,8555,456810
"82","2466032","CSD","Westmount (V)",4.04567,20312,9617,8685,"2466","24","24462","",2160,2405,810,1090,505,785,410,290,85,4000
"83","2466047","CSD","Montréal-Ouest (V)",1.36843,5050,1956,1850,"2466","24","24462","",465,805,285,375,145,205,120,60,25,465
"84","2466058","CSD","Côte-Saint-Luc (V)",6.96425,32448,14376,13490,"2466","24","24462","",3315,3935,1450,1535,950,1360,840,390,130,5640
"85","2466062","CSD","Hampstead (V)",1.79526,6973,2623,2473,"2466","24","24462","",615,1050,300,415,335,235,110,95,30,750
"86","2466072","CSD","Mont-Royal (V)",7.53536,20276,7914,7373,"2466","24","24462","",1650,3095,935,1495,665,805,445,270,90,2215
"87","2466087","CSD","Dorval (V)",20.91447,18980,8818,8392,"2466","24","24462","",2020,2200,870,990,345,900,570,265,65,3960
"88","2466092","CSD","L'Île-Dorval (V)",0.19174,5,60,4,"2466","24","24462","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2466097","CSD","Pointe-Claire (V)",18.90839,31380,12835,12376,"2466","24","24462","",3150,4140,1520,1965,655,1305,785,395,120,4605
"90","2466102","CSD","Kirkland (V)",9.63418,20151,6779,6682,"2466","24","24462","",1870,3405,1140,1665,595,685,375,245,65,1230
"91","2466107","CSD","Beaconsfield (V)",11.02593,19324,6828,6662,"2466","24","24462","",1900,3090,970,1505,615,630,330,215,85,1435
"92","2466112","CSD","Baie-D'Urfé (V)",6.03126,3823,1381,1334,"2466","24","24462","",445,575,200,255,125,100,45,40,15,295
"93","2466117","CSD","Sainte-Anne-de-Bellevue (V)",10.4934,4958,2195,1960,"2466","24","24462","",415,555,205,275,75,185,110,50,20,1075
"94","2466127","CSD","Senneville (VL)",7.524,921,375,346,"2466","24","24462","",115,135,55,65,25,35,20,10,0,85
"95","2466142","CSD","Dollard-Des Ormeaux (V)",15.07753,48899,17627,17210,"2466","24","24462","",4315,7290,2450,3275,1565,2195,1245,670,285,5175
"96","2467005","CSD","Saint-Mathieu (Mï¿½)",31.42674,2156,895,860,"2467","24","24462","",285,265,105,105,50,105,75,30,10,295
"97","2467010","CSD","Saint-Philippe (Mï¿½)",61.96267,6320,2627,2490,"2467","24","24462","",830,830,315,375,140,255,155,75,25,785
"98","2467015","CSD","La Prairie (V)",43.91259,24110,9947,9697,"2467","24","24462","",2460,3260,1135,1575,550,1115,695,330,90,3510
"99","2467020","CSD","Candiac (V)",17.31822,21047,7925,7832,"2467","24","24462","",2040,3255,1060,1645,550,935,510,345,75,1965
"100","2467025","CSD","Delson (V)",7.68967,7457,2950,2887,"2467","24","24462","",870,1025,370,485,165,360,220,105,30,895
"101","2467030","CSD","Sainte-Catherine (V)",9.45198,17047,6845,6751,"2467","24","24462","",1780,2255,955,985,320,905,545,295,70,2370
"102","2467035","CSD","Saint-Constant (V)",57.14956,27359,10282,10111,"2467","24","24462","",2925,4050,1520,1870,660,1225,695,415,115,2705
"103","2467040","CSD","Saint-Isidore (PE)",52.33263,2608,1047,1026,"2467","24","24462","",335,345,140,140,65,100,65,25,10,345
"104","2467045","CSD","Mercier (V)",46.54942,13115,4932,4839,"2467","24","24462","",1480,1900,685,875,335,545,285,195,65,1290
"105","2467050","CSD","Châteauguay (V)",37.3166,47906,19366,18798,"2467","24","24462","",5190,5980,2325,2480,1175,2620,1545,785,290,6950
"106","2467055","CSD","Léry (V)",10.53563,2318,1052,973,"2467","24","24462","",320,290,110,130,50,80,60,20,5,370
"107","2467802","CSD","Kahnawake (IRI)",50.68775,0,0,0,"2467","24","24462","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2470022","CSD","Beauharnois (V)",69.83637,12884,6072,5798,"2470","24","24462","",1835,1300,570,520,215,635,390,180,65,2465
"109","2471025","CSD","Saint-Zotique (Mï¿½)",25.10136,7934,3365,3223,"2471","24","24462","",1065,1020,365,485,170,305,160,115,25,1040
"110","2471033","CSD","Les Coteaux (Mï¿½)",11.73625,5368,2285,2200,"2471","24","24462","",565,700,265,315,115,300,170,95,35,785
"111","2471040","CSD","Coteau-du-Lac (V)",47.36942,7044,2743,2645,"2471","24","24462","",820,940,320,455,165,285,150,115,20,780
"112","2471050","CSD","Les Cèdres (Mï¿½)",78.2564,6777,2693,2607,"2471","24","24462","",810,930,335,445,150,300,155,110,35,785
"113","2471055","CSD","Pointe-des-Cascades (VL)",2.77738,1481,672,649,"2471","24","24462","",195,175,85,70,20,70,40,25,5,255
"114","2471060","CSD","L'Île-Perrot (V)",5.47752,10756,4831,4688,"2471","24","24462","",1195,1225,495,535,200,660,410,210,45,1980
"115","2471065","CSD","Notre-Dame-de-l'Île-Perrot (V)",28.20789,10654,3843,3750,"2471","24","24462","",1100,1715,580,855,280,355,190,120,40,895
"116","2471070","CSD","Pincourt (V)",7.1057,14558,5556,5471,"2471","24","24462","",1510,2150,760,1000,385,620,360,215,50,1565
"117","2471075","CSD","Terrasse-Vaudreuil (Mï¿½)",1.0632,1986,830,809,"2471","24","24462","",240,250,115,90,50,100,60,25,15,300
