Geo Code,Geo Name,Line Number
"5941837","Nazco 20",1199900
"5941838","Puntzi Lake 2",1202147
"5941839","Redstone Flat 1",1204394
"5941840","Squinas 2",1206641
"5941841","Stone 1",1208888
"5941844","Agats Meadow 8",1211135
"5941845","Thomas Squinas Ranch 2A",1213382
"5941848","Alexis Creek 21",1215629
"5941849","Baptiste Meadow 2",1217876
"5941850","Toosey 1",1220123
"5941851","Towdystan Lake 3",1222370
"5941852","Trout Lake Alec 16",1224617
"5941854","Ulkatcho 13",1226864
"5941855","Windy Mouth 7",1229111
"5941856","Alexis Creek 34",1231358
"5941858","Cahoose 10",1233605
"5941859","Blackwater Meadow 11",1235852
"5941860","Cahoose 12",1238099
"5941861","Betty Creek 18",1240346
"5941862","Salmon River Meadow 7",1242593
"5941863","Tzetzi Lake 11",1244840
"5941864","Sundayman's Meadow 3",1247087
"5941866","Euchinico Creek 17",1249334
"5941868","Sandy Harry 4",1251581
"5941871","Fishtrap 19",1253828
"5941872","Swan Lake 3",1256075
"5941873","Alkali Lake 4A",1258322
"5941876","Lezbye 6",1260569
"5941879","Michel Gardens 36",1262816
"5941880","Ulkatcho 14A",1265063
"5941881","Baezaeko River 27",1267310
"5941882","Alexandria",1269557
"5941883","Anahim's Meadow",1271804
"5941884","Garden",1274051
"5941885","Little Springs",1276298
"5943008","Alert Bay",1278545
"5943012","Port McNeill",1280792
"5943017","Port Alice",1283039
"5943023","Port Hardy",1285286
"5943027","Mount Waddington B",1287533
"5943031","Mount Waddington C",1289780
"5943033","Mount Waddington D",1292027
"5943037","Mount Waddington A",1294274
"5943804","Fort Rupert 1",1296521
"5943806","Tsulquate 4",1298768
"5943807","Dead Point 5",1301015
"5943808","Gwayasdums 1",1303262
"5943809","Hopetown 10A",1305509
"5943813","Quaee 7",1307756
"5943815","Kippase 2",1310003
"5943816","Quatsino Subdivision 18",1312250
"5943817","Thomas Point 5",1314497
"5943835","Nimpkish 2",1316744
"5943836","Hope Island 1",1318991
"5943837","Alert Bay",1321238
"5945006","Central Coast A",1323485
"5945010","Central Coast C",1325732
"5945012","Central Coast D",1327979
"5945014","Central Coast E",1330226
"5945801","Bella Bella 1",1332473
"5945802","Bella Coola 1",1334720
"5945803","Katit 1",1336967
"5947007","Port Edward",1339214
"5947012","Prince Rupert",1341461
"5947016","Skeena-Queen Charlotte A",1343708
"5947021","Skeena-Queen Charlotte C",1345955
"5947023","Masset",1348202
"5947026","Queen Charlotte",1350449
"5947027","Skeena-Queen Charlotte D",1352696
"5947030","Port Clements",1354943
"5947032","Skeena-Queen Charlotte E",1357190
"5947803","Masset 1",1359437
"5947804","Skidegate 1",1361684
"5947806","Kulkayu (Hartley Bay) 4",1363931
"5947807","Dolphin Island 1",1366178
"5947809","Lax Kw'alaams 1",1368425
"5947810","S1/2 Tsimpsean 2",1370672
"5949005","Kitimat",1372919
"5949011","Terrace",1375166
"5949013","Kitimat-Stikine C (Part 1)",1377413
"5949018","Kitimat-Stikine E",1379660
"5949020","Kitimat-Stikine C (Part 2)",1381907
"5949022","Hazelton",1384154
"5949024","New Hazelton",1386401
"5949028","Kitimat-Stikine B",1388648
"5949032","Stewart",1390895
"5949035","Nisga'a",1393142
"5949038","Kitimat-Stikine F",1395389
"5949039","Kitimat-Stikine A",1397636
"5949041","Kitimat-Stikine D",1399883
"5949802","Kitasoo 1",1402130
"5949803","Kitamaat 2",1404377
"5949804","Kitsumkaylum 1",1406624
"5949805","Kshish 4",1408871
"5949807","Kulspai 6",1411118
"5949810","Coryatsaqua (Moricetown) 2",1413365
"5949811","Hagwilget 1",1415612
"5949812","Gitanmaax 1",1417859
"5949813","Kispiox 1",1420106
"5949814","Gitsegukla 1",1422353
"5949815","Gitanyow 1",1424600
"5949816","Gitwangak 1",1426847
"5949817","Moricetown 1",1429094
"5949818","Sik-e-dakh 2",1431341
"5949819","Babine 17",1433588
"5949820","Bulkley River 19",1435835
"5949832","Iskut 6",1438082
"5949843","Guhthe Tah 12",1440329
"5949844","Kitselas 1",1442576
"5949845","Dease Lake 9",1444823
"5949846","Tahltan 1",1447070
"5949847","Telegraph Creek",1449317
