province,HA,CSD,SAC,population,commuting_population,commute_1,commute_2,commute_3,commute_4,airport,hospital
Manitoba,Northern,Kelsey (Rural municipality) ,north,,,,,,,,
Manitoba,Prairie Mountain,Killarney - Turtle Mountain (Rural municipality) ,moderate,,,,,,,,
Manitoba,Southern Health,La Broquerie (Rural municipality) ,strong,,,,,,,,
Manitoba,Northern,Lac Brochet 197A (Indian reserve) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Lac du Bonnet (Rural municipality) ,moderate,,,,,,,,
Manitoba,Interlake-Eastern,Lac du Bonnet (Town) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Lakeshore (Rural municipality) ,none,,,,,,,,
Manitoba,Northern,Leaf Rapids (Town) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Little Grand Rapids 14 (Indian reserve) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Little Saskatchewan 48 (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,Long Plain (Part) 6 (Indian reserve) ,moderate,,,,,,,,
Manitoba,Southern Health,Lorne (Municipality) ,moderate,,,,,,,,
Manitoba,Southern Health,Louise (Municipality) ,moderate,,,,,,,,
Manitoba,Northern,Lynn Lake (Town) ,mnone ,,,,,,,,
Manitoba,Southern Health,Macdonald (Rural municipality) ,cma (winnipeg),,,,,,,,
Manitoba,Prairie Mountain,McCreary (Municipality) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Melita (Town) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Minitonas-Bowsman (Municipality) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Minnedosa (Town) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Minto-Odanah (Municipality) ,moderate,,,,,,,,
Manitoba,Southern Health,Montcalm (Rural municipality) ,moderate,,,,,,,,
Manitoba,Northern,Moose Lake 31A (Indian reserve) ,none,,,,,,,,
Manitoba,Northern,Mooseocoot (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,Morden (City) ,ca (winkler),,,,,,,,
Manitoba,Southern Health,Morris (Rural municipality) ,moderate,,,,,,,,
Manitoba,Southern Health,Morris (Town) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Mossey River (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Mountain (North) (Rural municipality) ,none,,,,,,,,
Manitoba,Prairie Mountain,Mountain (South) (Rural municipality) ,weak,,,,,,,,
Manitoba,Northern,Mystery Lake (Local government district) ,none,,,,,,,,
Manitoba,Prairie Mountain,Neepawa (Town) ,moderate,,,,,,,,
Manitoba,Northern,Nelson House 170 (Indian reserve) ,weak,,,,,,,,
Manitoba,Southern Health,Niverville (Town) ,strong,,,,,,,,
Manitoba,Prairie Mountain,Norfolk-Treherne (Municipality) ,moderate,Southern,,,,,,,
Manitoba,Prairie Mountain,North Cypress-Langford (Municipality) ,moderate,,,,,,,,
Manitoba,Southern Health,North Norfolk (Municipality) ,moderate,,,,,,,,
Manitoba,Northern,Norway House 17 (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Oakland-Wawanesa (Municipality) ,ca (brandon),,,,,,,,
Manitoba,Prairie Mountain,Oakview (Rural municipality) ,moderate,,,,,,,,
Manitoba,Northern,Opaskwayak Cree Nation 21A (Indian reserve) ,none,,,,,,,,
Manitoba,Northern,Opaskwayak Cree Nation 21B (Indian reserve) ,none,,,,,,,,
